artist_name,track_name,Vocal Register,Vocal Timbre Thin to Full,Vocal Breathiness,Vocal Smoothness,Vocal Grittiness,Vocal Nasality,Vocal Accompaniment
Oceansize,You Wish,0.6,0.6,0.6,0.8,0.2,0.4,0.6
Oasis,Let'S All Make Believe,0.6,0.8,0.4,0.6,0.6,0.4,0.6
Oasis,Champange Supernova,0.6,0.6,0.4,0.8,0.4,0.6,0.8
The Kissaway Trail,Smother + Evil = Hurt,0.6,0.6,0.6,0.6,0.4,0.4,0.8
Akufen,Skidoos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Big Brother & The Holding Company,Summertime,0.8,1.0,0.4,0.4,1.0,0.4,0.2
The Kinks,Where Have All The Good Times Gone,0.4,0.6,0.2,0.4,0.6,0.8,0.4
Akufen,Wet Floors,0.2,0.4,0.8,0.8,0.2,0.4,0.6
Oasis,The Girl In The Dirty Shirt,0.6,0.8,0.4,0.6,0.6,0.4,0.6
The Knife,The Captain(Silent Shout Tour),0.6,0.4,0.6,0.8,0.2,0.4,0.8
Destroyer,Foam Hands,,,,,,,
The Knife,Jens'S Sneaking,,,,,,,
Stereolab,Metronomic Underground,,,,,,,
Mgmt,Love Always Remains,,,,,,,
The Sisters Of Mercy,Body Electric,,,,,,,
Barbara Morgenstern,The Operator,0.6,0.6,0.8,0.8,0.2,0.4,0.4
ポルノグラフィティ,Melissa,0.6,0.8,0.4,0.8,0.2,0.4,0.6
Stereophonics,Bank Holiday Monday,,,,,,,
Jedi Mind Tricks,Saviorself (Feat. Killah Priest),,,,,,,
Jedi Mind Tricks,Uncommon Valor: A Vietnam Story (Feat. R.A. The Rugged Man),,,,,,,
Sepultura,Beneath The Remains,,,,,,,
Sepultura,Intro,,,,,,,
Mew,Web,,,,,,,
Black Sabbath,Spiral Architect,,,,,,,
Backyard Babies,Idiots,,,,,,,
The Sisters Of Mercy,More,,,,,,,
Mewithoutyou,I Never Said That I Was Brave,,,,,,,
Free The Robots,Jazzhole,,,,,,,
Free On Stage Feat. Sound Players,Like In Heaven (Original Mix),,,,,,,
Rush,Bastille Day,,,,,,,
Cursive,Opening The Hymnal / Babies,,,,,,,
Sepultura,Murder,,,,,,,
Frightened Rabbit,The Twist,,,,,,,
Teddy Geiger,These Walls,0.6,0.6,0.4,0.8,0.2,0.4,0.6
Apocalyptica,Refuse/Resist,,,,,,,
Olive,You'Re Not Alone,,,,,,,
Olivia Ruiz,Les Vieux Amoureux,,,,,,,
Anna Ternheim,I Say No,,,,,,,
Jason Mraz,Did You Get My Message?,,,,,,,
Ted Leo And The Pharmacists,Walking To Do,,,,,,,
Le Tigre,Mediocrity Rules,,,,,,,
Le Tigre,Sixteen,,,,,,,
Hatebreed,Destroy Everything,,,,,,,
Battlelore,Chazad-Dum Pt.2,,,,,,,
Janet Jackson,Someone To Call My Lover,,,,,,,
Prefuse 73,The Wrong Side Of Reflection,,,,,,,
Pretty Girls Make Graves,Blue Lights,,,,,,,
Primal Scream,Beautiful Future,,,,,,,
One Day As A Lion,Wild International,,,,,,,
Biffy Clyro,Mountains,,,,,,,
Biffy Clyro,Now I'M Everyone,,,,,,,
Meshuggah,Neurotica,0.4,0.8,0.0,0.2,1.0,0.2,0.0
Methods Of Mayhem,Get Naked,,,,,,,
Black Tambourine,Pack You Up,,,,,,,
Dj Shadow,Transmission 1,,,,,,,
Laurent Wolf,Wash My World,,,,,,,
Dj Shadow,This Time (I'M Gonna Try It My Way),,,,,,,
Metallica,Too Late Too Late,,,,,,,
Lene Lovich,Lucky Number,,,,,,,
Metallica,53Rd & 3Rd,,,,,,,
Melvins,Honey Bucket,,,,,,,
The View,Wasted Little Djs,,,,,,,
Lenny Kravitz,If You Can'T Say No,,,,,,,
Stevie Ray Vaughan And Double Trouble,Pride And Joy,,,,,,,
Devendra Banhart,Tonada Yanomaminista,,,,,,,
Small Faces,Long Agos And Worlds Apart,,,,,,,
Metallica,Prince Charming,,,,,,,
Stevie Ray Vaughan And Double Trouble,Mary Had A Little Lamb,,,,,,,
Jamiroquai,Talulah,,,,,,,
Cascada,Ready For Love,,,,,,,
Biffy Clyro,As Dust Dances,,,,,,,
The Vines,Mary Jane,,,,,,,
Portishead & Moloko,Fun For Me,,,,,,,
Big Black,Bad Penny,,,,,,,
The Vines,Winning Days,,,,,,,
Jason Mraz,Song For A Friend,,,,,,,
Jason Mraz,Clockwatching,,,,,,,
Smokey Robinson & The Miracles,Tears Of A Clown,,,,,,,
X-Ray Spex,I Am A Cliche,,,,,,,
James Murphy & Pat Mahoney,I Need You Tonight,,,,,,,
X-Ray Spex,Genetic Engineering,,,,,,,
Freeland,Physical World,,,,,,,
Freeland,L.I.F.E.,,,,,,,
September,Can'T Get Over (Radio Edit),,,,,,,
Apocalyptica,From Out Of Nowhere,,,,,,,
Led Zeppelin,Night Flight,,,,,,,
65Daysofstatic,Massive Star At The End Of Its Burning Cycle,,,,,,,
Leaves' Eyes,Return To Life,,,,,,,
Freak Kitchen,The Rights To You,,,,,,,
The Breeders,Mad Lucas,,,,,,,
Rush,Resist (Live),,,,,,,
Rush,Scars,,,,,,,
Rush,Roll The Bones,,,,,,,
Cut Chemist,Metrorail Thru Space,,,,,,,
Alanis Morissette,Wake Up,,,,,,,
Beyoncé & Shakira,Beautiful Liar,,,,,,,
Annie,Helpless Fool For Love (Patrick Wolf Remix),,,,,,,
Orchestral Manoeuvres In The Dark,Telegraph,,,,,,,
The Juliana Hatfield Three,My Sister,,,,,,,
Orchestral Manoeuvres In The Dark,Radio Waves,,,,,,,
Beyoncé Knowles Featuring Jay-Z,Deja Vu (Offer Nissim Mix),,,,,,,
Alanis Morissette,21 Things I Want In A Lover,0.8,0.8,0.6,0.6,0.6,0.4,0.4
Trivium,Unrepentant,,,,,,,
Melanie C,Don'T Need This,0.6,0.8,0.4,0.8,0.4,0.2,0.6
David Bowie,Little Wonder,,,,,,,
Enya,Silver Inches,,,,,,,
Hawkwind,The Awakening,,,,,,,
Weezer,Freak Me Out,,,,,,,
Sway,Hype Boys,,,,,,,
Weezer,Cold Dark World,,,,,,,
Simple Minds,I Travel,,,,,,,
Epica,The Divine Conspiracy,,,,,,,
Lenny Kravitz,Always On The Run,,,,,,,
Bob Sinclar,Love Generation (Radio Edit),,,,,,,
The Sonics,Have Love Will Travel,,,,,,,
Megadeth,Holy Wars,,,,,,,
Cat Stevens,Where Do The Children Play,,,,,,,
Lesley Gore,It'S My Party,,,,,,,
Megadeth,Angry Again,,,,,,,
Cat Stevens,Sad Lisa,,,,,,,
Ozric Tentacles,Bizarre Bazaar,,,,,,,
Teenagersintokyo,Very Vampyr,,,,,,,
The Specials,Gangsters,,,,,,,
Porcupine Tree,Baby Dream In Cellophane,,,,,,,
Mdfmk,Torpedoes,,,,,,,
Stone Temple Pilots,Trippin' On A Hole In A Paper Heart,,,,,,,
Story Of The Year,Stereo,,,,,,,
Heaven 17,(We Don'T Need This) Fascist Groove Thang,,,,,,,
Megadeth,High Speed Dirt,,,,,,,
Cliff Martinez,Will She Come Back,,,,,,,
Clinic,Pet Eunuch,,,,,,,
Clinic,Dj Shangri-La,,,,,,,
Clinic,The Return Of Evil Bill,,,,,,,
Out Hud,How Long,,,,,,,
Slowdive,Miranda,,,,,,,
Out Of Office,Hands Up (Vocal Mix),,,,,,,
Weezer,The Angel And The One,,,,,,,
Slowdive,Slowdive,,,,,,,
Weezer,The Sister Song,,,,,,,
The Dresden Dolls,Christopher Lydon,,,,,,,
Clor,Stuck In A Tight Spot,,,,,,,
Velvet,Mi Amore,,,,,,,
Health,Glitter Pills,,,,,,,
Entwine,Frozen By The Sun,,,,,,,
Velvet,Fix Me,,,,,,,
Ryan Adams,The Sun Also Sets,,,,,,,
Freak Kitchen,Chest Pain Waltz,,,,,,,
Semisonic,Dnd,0.6,0.8,0.4,0.8,0.4,0.4,0.6
Ryan Adams,Amy,,,,,,,
Meat Puppets,Lake Of Fire,,,,,,,
The Books,There Is No There,,,,,,,
Cypress Hill,(Rock) Superstar,,,,,,,
Meat Loaf,I'D Lie For You (And That'S The Truth),,,,,,,
Annihilator,Wicked Mystic,,,,,,,
The Books,A Little Longing Goes Away,,,,,,,
The Books,Bonanza,,,,,,,
Alanis Morissette,Utopia,,,,,,,
The Boomtown Rats,Rat Trap,,,,,,,
Fatboy Slim,I See You Baby (Groove Armada Fbs Remix),,,,,,,
Jackson And His Computer Band,Fast Life,,,,,,,
Beulah,Cruel Minor Change,,,,,,,
Beulah,Burned By The Sun,,,,,,,
Cat Power,Paths Of Victory,,,,,,,
Róisín Murphy,Leaving The City,,,,,,,
Backyard Babies,You Tell Me You Love Me You Lie,,,,,,,
Woven Hand,Winter Shaker,,,,,,,
U2,Your Blue Room,,,,,,,
The John Butler Trio,Ocean,,,,,,,
Sting With Eric Clapton,It'S Probably Me,,,,,,,
Sloan,Set In Motion,,,,,,,
Otis Redding,I'Ve Been Loving You Too Long,,,,,,,
Teenagersintokyo,Robocat,,,,,,,
Sloan,Something'S Wrong,,,,,,,
Frank Sinatra,The Girl From Ipanema,0.6,0.8,0.4,1.0,0.2,0.4,0.2
Lifehouse,We'Ll Never Know,,,,,,,
Sabaton,Attero Dominatus,,,,,,,
The Specials,It'S Up To You,,,,,,,
Mazzy Star,I'Ve Been Let Down,,,,,,,
Mazzy Star,Look On Down From The Bridge,,,,,,,
Bob Dylan,Workingman'S Blues #2,,,,,,,
Isis,Grinning Mouths,,,,,,,
Lifehouse,Come Back Down,,,,,,,
Isis,Carry,,,,,,,
Iron & Wine,The Sea And The Rhythm,,,,,,,
Dani,Te Doy Mi Voz (Spain),,,,,,,
Frank Sinatra,Young At Heart,,,,,,,
Frank Sinatra,The Best Is Yet To Come,,,,,,,
Seether,Fine Again,,,,,,,
Fatboy Slim,Ya Mama,,,,,,,
Tori Amos,1000 Oceans,,,,,,,
David Bowie,Sweet Thing (Reprise),,,,,,,
Plain White T'S,A Lonely September,,,,,,,
Herbert,Just Once,,,,,,,
The Jesus And Mary Chain,Everything'S Alright When You'Re Down,,,,,,,
Helloween,Twilight Of The Gods,,,,,,,
The Jam,The Modern World,,,,,,,
Bettye Lavette,Little Sparrow,,,,,,,
Catamenia,The Heart Of Darkness,,,,,,,
Strapping Young Lad,Two Weeks,,,,,,,
J Dilla,People,,,,,,,
Catamenia,The Crystal Stream,,,,,,,
Poets Of The Fall,Overboard,,,,,,,
Plastic Bertrand,Ca Plane Pour Moi,,,,,,,
Poison,Can'T You See,,,,,,,
Sinéad O'Connor,I Am Stretched On Your Grave,,,,,,,
Max Richter,Sunlight,,,,,,,
Matt Pond Pa,The Butcher,,,,,,,
Dixie Chicks,Bitter End,,,,,,,
Matt Pond Pa,Closest (Look Out),,,,,,,
Tristania,Pale Enchantress,,,,,,,
Cave In,Jupiter,,,,,,,
Matt Nathanson,Car Crash,,,,,,,
The Jam,Mr. Clean,,,,,,,
山根ミチル,Bad Situation,,,,,,,
Limp Bizkit,It'Ll Be Ok,,,,,,,
Alestorm,Over The Seas,,,,,,,
Inxs,What You Need,,,,,,,
Dead Can Dance,The Song Of The Sibyl,,,,,,,
Iron & Wine And Calexico,Dead Man'S Will,0.6,0.6,0.8,0.8,0.2,0.4,0.8
Iron & Wine And Calexico,History Of Lovers,,,,,,,
P!Nk,Most Girls,,,,,,,
Between The Buried And Me,Sun Of Nothing,,,,,,,
The Veronicas,Everything I'M Not,,,,,,,
Slipknot,Only One,,,,,,,
Beulah,Hey Brother,,,,,,,
The Invisibles,London Zoo,,,,,,,
Panic At The Disco,She'S A Handsome Woman,,,,,,,
Panic At The Disco,That Green Gentleman (Things Have Changed),,,,,,,
Strapping Young Lad,Antiproduct,,,,,,,
Dixie Chicks,Everybody Knows,,,,,,,
Slick Rick,Children'S Story,,,,,,,
Röyksopp,Only This Moment (Radio Edit),,,,,,,
Max Richter,Vladimir'S Blues,,,,,,,
The Beatles,All Together Now,0.6,0.6,0.2,0.6,0.2,0.4,0.8
Lil Wayne,Got Money (Feat. T-Pain),,,,,,,
Slipknot,Gehenna,,,,,,,
Strapping Young Lad,Detox,,,,,,,
Four Tet,No More Mosquitoes,,,,,,,
Saint Etienne,Stars Above Us,,,,,,,
Frank Black,Headache,,,,,,,
Papa Roach,Broken Home,,,,,,,
The Black Keys,Strange Desire,,,,,,,
Franco Battiato,Un'Altra Vita,,,,,,,
Ingrid Michaelson,Keep Breathing,,,,,,,
The Black Keys,Midnight In Her Eyes,,,,,,,
Four Tet,Untangle,,,,,,,
Sleater-Kinney,You'Re No Rock 'N' Roll Fun,,,,,,,
Basement Jaxx,Romeo (Acoustic Mix),,,,,,,
D'Sound,Green Eyes,,,,,,,
Tokyo Police Club,The Baskervilles,,,,,,,
Hevein,As Far As The Eye Can See,,,,,,,
Tori Amos,'97 Bonnie & Clyde,,,,,,,
Cky,Close Yet Far,,,,,,,
The Enemy,You'Re Not Alone,,,,,,,
Salt-N-Pepa,Let'S Talk About Sex,,,,,,,
Paradise Lost,Angel Tears,,,,,,,
Papa Roach,Dead Cell,,,,,,,
Paradise Lost,No Celebration,,,,,,,
Beth Orton,Live As You Dream,,,,,,,
Bob Dylan,Beyond The Horizon,,,,,,,
Vast,Winter In My Heart,,,,,,,
Basshunter,Now You'Re Gone (Radio Edit),,,,,,,
Pain Of Salvation,People Passing By,,,,,,,
Iron Maiden,Gangland,,,,,,,
Céline Dion,The Power Of Love,,,,,,,
Placebo,Nancy Boy (Sex Mix),,,,,,,
Hevein,Breakout The Hammers,,,,,,,
Within Temptation,What Have You Done,,,,,,,
The Stranglers,Duchess,,,,,,,
The Streets,Can'T Con An Honest John,,,,,,,
3 Doors Down,Live For Today,,,,,,,
3 Doors Down,Here Without You (Acoustic),,,,,,,
