artist_name,track_name,Vocal Register,Vocal Timbre Thin to Full,Vocal Breathiness,Vocal Smoothness,Vocal Grittiness,Vocal Nasality,Vocal Accompaniment
Olspur,It'S A Hungry World,0.6,0.8,0.6,0.8,0.4,0.4,0.6
Tiga,The Ballad Of Sexor,0.6,0.4,0.6,0.8,0.2,0.4,0.4
The Donnas,Take It Off,0.6,0.8,0.2,0.4,0.8,0.2,0.4
Xiu Xiu,Vulture Piano,0.4,0.2,0.8,0.2,0.6,0.4,0.0
Cocorosie,Houses,0.6,0.4,0.8,0.6,0.2,0.4,0.6
Jimmy Eat World,For Me This Is Heaven,0.6,0.6,0.6,0.8,0.2,0.4,0.4
Sonic Syndicate,Prelude To Extinction,0.6,0.8,0.2,0.4,1.0,0.2,0.6
Andrew Bird,Scythian Empires,0.6,0.6,0.8,0.8,0.2,0.4,0.4
Guided By Voices,Hot Freaks,0.6,0.4,0.4,0.4,0.8,0.4,0.2
The Sundays,Here'S Where The Story Ends,0.8,0.4,0.8,1.0,0.0,0.2,0.4
Gnarls Barkley,Necromancer,0.6,0.8,0.4,0.8,0.2,0.4,0.6
Bat For Lashes,Siren Song,,,,,,,
Orchestral Manoeuvres In The Dark,Joan Of Arc,0.6,0.6,0.4,0.8,0.2,0.4,0.6
Thursday,War All The Time,,,,,,,
Cassius,Feeling For You,,,,,,,
Weezer,This Is Such A Pity,,,,,,,
The Killers,A Crippling Blow,,,,,,,
Porcupine Tree,Glass Arm Shattering,,,,,,,
Michael Bublé,Everything,0.6,0.8,0.6,1.0,0.2,0.4,0.6
Elbow,My Very Best,,,,,,,
Casiotone For The Painfully Alone,Scattered Pearls,,,,,,,
Stars,The Vanishing,,,,,,,
Orchestral Manoeuvres In The Dark,Bunker Soldiers,,,,,,,
Felix Da Housecat,Madame Hollywood,,,,,,,
The Pipettes,Sex,,,,,,,
Lil Wayne,Lollipop,,,,,,,
Pink Floyd,Julia Dream,,,,,,,
Bad Religion,American Jesus,,,,,,,
Lucky Soul,Lips Are Unhappy,,,,,,,
Sébastien Tellier,Divine,,,,,,,
Rilo Kiley,Wires And Waves,,,,,,,
Rilo Kiley,The Angels Hung Around,,,,,,,
Twisted Sister,We'Re Not Gonna Take It,,,,,,,
Conjure One,Pandora,,,,,,,
Silverchair,Miss You Love,,,,,,,
Emilie Autumn,Shalott,,,,,,,
Katatonia,Clean Today,,,,,,,
The 69 Eyes,Wasting The Dawn,,,,,,,
Arch Enemy,Carry The Cross,,,,,,,
Pixies,Trompe Le Monde,,,,,,,
Le Tigre,On The Verge,0.6,0.6,0.4,0.6,0.2,0.4,0.8
The Who,Boris The Spider,,,,,,,
Bang Gang,Something Wrong,,,,,,,
God Is An Astronaut,Suicide By Star,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,Frau Wav,,,,,,,
Dead Kennedys,Stealing People'S Mail,,,,,,,
Fall Out Boy,Get Busy Living Or Get Busy Dying (Do Your Part To Save The Scene And Stop Going To Shows),,,,,,,
Metric,Twilight Galaxy,,,,,,,
Manic Street Preachers,The Second Great Depression,0.6,0.8,0.4,0.8,0.4,0.4,0.6
Backyard Babies,Say When,,,,,,,
Thursday,This Song Brought To You By A Falling Bomb,,,,,,,
Elliott Smith,Because,,,,,,,
The Fiery Furnaces,Blueberry Boat,,,,,,,
Dark Tranquillity,Final Resistance,,,,,,,
Metric,Gold Guns Girls,,,,,,,
Penguin Cafe Orchestra,Music For A Found Harmonium,,,,,,,
Jack Johnson,Mediocre Bad Guys,,,,,,,
Holy Fuck,Safari,,,,,,,
The Mountain Goats,The Best Ever Death Metal Band In Denton,,,,,,,
Animal Collective,College,,,,,,,
