artist_name,track_name,Vocal Register,Vocal Timbre Thin to Full,Vocal Breathiness,Vocal Smoothness,Vocal Grittiness,Vocal Nasality,Vocal Accompaniment
Marilyn Manson,Disposable Teens,0.6,0.8,0.4,0.2,0.8,0.6,0.4
Blur,Charmless Man,0.6,0.6,0.2,0.6,0.4,0.6,0.6
The White Stripes,The Air Near My Fingers,0.6,0.6,0.2,0.4,0.8,0.4,0.4
Ladytron,Weekend,0.6,0.4,0.6,0.8,0.2,0.4,0.6
The Decemberists,O Valencia!,0.6,0.6,0.4,0.6,0.2,0.6,0.6
Metallica,The End Of The Line,0.6,0.8,0.2,0.4,0.8,0.2,0.6
Tom Waits,Clap Hands,0.2,0.6,0.4,0.2,1.0,0.4,0.0
Regina Spektor,Ode To Divorce,0.8,0.6,0.8,0.8,0.2,0.4,0.0
The Mars Volta,Eriatarka,,,,,,,
Hot Chip,Shake A Fist,,,,,,,
The Prodigy,Voodoo People,,,,,,,
Death In Vegas,Hands Around My Throat,,,,,,,
My Chemical Romance,House Of Wolves,,,,,,,
She Wants Revenge,Tear You Apart,,,,,,,
The Beatles,Think For Yourself,,,,,,,
Kings Of Leon,Day Old Blues,,,,,,,
Eels,Novocaine For The Soul,0.6,0.6,0.6,0.6,0.4,0.4,0.6
My Chemical Romance,Mama,,,,,,,
Nightwish,Nemo,,,,,,,
Gnarls Barkley,The Boogie Monster,,,,,,,
Panic At The Disco,Introduction,,,,,,,
Nick Drake,Fly,,,,,,,
Ratatat,Gettysburg,,,,,,,
Depeche Mode,In Your Room,,,,,,,
Pendulum,Granite,,,,,,,
The National,Abel,,,,,,,
Ben Folds Five,Brick,,,,,,,
Nirvana,Where Did You Sleep Last Night?,,,,,,,
Placebo,Days Before You Came,,,,,,,
Deftones,Passenger,,,,,,,
Manu Chao,Clandestino,,,,,,,
Boards Of Canada,Bocuma,,,,,,,
Ladytron,The Last One Standing,,,,,,,
Hot Hot Heat,Bandages,,,,,,,
Rihanna,Breakin' Dishes,,,,,,,
Kylie Minogue,Can'T Get You Out Of My Head,,,,,,,
Guns N' Roses,Since I Don'T Have You,,,,,,,
Marilyn Manson,Mobscene,0.4,0.8,0.2,0.2,0.8,0.4,0.6
The Rolling Stones,Start Me Up,,,,,,,
The Knife,Still Light,,,,,,,
The Flaming Lips,Ego Tripping At The Gates Of Hell,,,,,,,
Alice Cooper,School'S Out,,,,,,,
Neutral Milk Hotel,Song Against Sex,,,,,,,
Depeche Mode,Condemnation,,,,,,,
Wilco,Handshake Drugs,,,,,,,
Red Hot Chili Peppers,Easily,,,,,,,
Iron & Wine,Teeth In The Grass,,,,,,,
Iron & Wine,Innocent Bones,,,,,,,
Depeche Mode,Barrel Of A Gun,,,,,,,
Depeche Mode,Useless,0.6,0.6,0.4,0.6,0.4,0.2,0.6
Weezer,The Good Life,,,,,,,
Damien Rice,Coconut Skins,,,,,,,
Mstrkrft,Work On You,,,,,,,
Stars,Sleep Tonight,,,,,,,
Radiohead,Morning Bell/Amnesiac,,,,,,,
The Stooges,Gimme Danger,,,,,,,
Whitesnake,Love Ain'T No Stranger,,,,,,,
Stars,Reunion,,,,,,,
Stars,Take Me To The Riot,,,,,,,
Nine Inch Nails,Reptile,,,,,,,
Tom Vek,Nothing But Green Lights,,,,,,,
Tegan And Sara,So Jealous,,,,,,,
Tegan And Sara,Relief Next To Me,,,,,,,
Kings Of Convenience,Love Is No Big Truth,,,,,,,
