artist_name,track_name,Vocal Register,Vocal Timbre Thin to Full,Vocal Breathiness,Vocal Smoothness,Vocal Grittiness,Vocal Nasality,Vocal Accompaniment
Ultra Orange & Emmanuelle,Don'T Kiss Me Goodbye,,,,,,,
The Jam,Thick As Thieves,,,,,,,
The Haunted,Bury Your Dead,,,,,,,
Dead Can Dance,The Trial,,,,,,,
In Flames,Timeless,,,,,,,
Inxs,Guns In The Sky,,,,,,,
Alestorm,Flower Of Scotland,,,,,,,
Sleater-Kinney,Heart Factory,,,,,,,
Elsiane,Assemblage Point,,,,,,,
Sleeping At Last,Hold Still,,,,,,,
Tom Waits,Cold Water,0.2,0.4,0.2,0.2,1.0,0.6,0.0
Sleater-Kinney,Memorize Your Lines,,,,,,,
Fila Brazillia,Throwing Down A Shape,,,,,,,
Scorpions,In Trance,,,,,,,
Tom Waits,Dead And Lovely,,,,,,,
Sleater-Kinney,Little Mouth,,,,,,,
Sleater-Kinney,I'M Not Waiting,,,,,,,
Scorpions,When The Smoke Is Going Down,,,,,,,
Sleater-Kinney,Living In Exile,,,,,,,
Scorpions,I Wanted To Cry,,,,,,,
Wolf Parade,The Grey Estates,,,,,,,
The Greenhornes,Pattern Skies,,,,,,,
Lush,Breeze,,,,,,,
The Gun Club,She'S Like Heroin To Me,,,,,,,
Magnet,Lay Lady Lay (Feat. Gemma Hayes),,,,,,,
Mae,Giving It Away (Acoustic),,,,,,,
Charon,Ride On Tears,,,,,,,
Pantera,The Underground In America,,,,,,,
The Guess Who,American Woman,,,,,,,
Mae,Painless,,,,,,,
Patrick Wolf,Empress,,,,,,,
Wire,Dot Dash,0.4,0.4,0.2,0.6,0.2,0.4,0.4
Sleater-Kinney,Write Me Back Fucker,,,,,,,
Sleater-Kinney,Was It A Lie?,,,,,,,
Elvis Costello,Beyond Belief,,,,,,,
The Great Depression,The Baltic Sea,,,,,,,
Dead Can Dance,Song Of The Stars,,,,,,,
Madcon,Beggin' (Promo Only Clean Edit),,,,,,,
M83,Violet Tree,,,,,,,
Cheap Trick,I Want You To Want Me (Live),,,,,,,
Fennesz & Sakamoto,Mono,,,,,,,
Dan Le Sac Vs. Scroobius Pip,Back From Hell,,,,,,,
Parts & Labor,Vision Of Repair,,,,,,,
Infadels,Reality Tv,,,,,,,
Tom Waits,God'S Away On Business,,,,,,,
Barenaked Ladies,Unfinished,,,,,,,
Paris Hilton,Turn It Up,,,,,,,
Boys Night Out,Medicating,,,,,,,
Blitzkid,Pretty In A Casket,,,,,,,
Chantal Kreviazuk,Leaving On A Jet Plane,,,,,,,
The Hives,Knock Knock,,,,,,,
Sun Kil Moon,Unlit Hallway,,,,,,,
+/-,Fadeout,,,,,,,
M. Ward,Today'S Undertaking,,,,,,,
Paramore,Oh Star,,,,,,,
Treva Whateva,Driving Reign,,,,,,,
Sleater-Kinney,Slow Song,,,,,,,
Tricky,Brand New You'Re Retro,,,,,,,
Infernal,I Won'T Be Crying (Beatfreakz Club Edit),,,,,,,
Sleater-Kinney,Taste Test,,,,,,,
Telefon Tel Aviv,The Birds,,,,,,,
Pati Yang,Pretty Fin,,,,,,,
Elvis Presley,(Now And Then There'S) A Fool Such As I,,,,,,,
Telefon Tel Aviv,You Are The Worst Thing In The World,,,,,,,
Sleater-Kinney,Don'T Think You Wanna,,,,,,,
The Holloways,Fuck Ups,,,,,,,
Beth,Dime (Spain),,,,,,,
The Holloways,Happiness And Penniless,,,,,,,
The Hellacopters,A View From Nowhere,,,,,,,
Kraftwerk,Tour De France (Etape 3),0.6,0.4,0.2,0.8,0.0,0.4,0.0
The Hellacopters,Better Than You,,,,,,,
Miss Kittin,Requiem For A Hit (Feat. L.A. Williams),,,,,,,
Reel 2 Real,I Like To Move It,,,,,,,
Kraftwerk,Metall Auf Metall,,,,,,,
Tunng,Out The Window With The Window,,,,,,,
Controlled Collapse,Liar,,,,,,,
Glass Candy,Computer Love (Kraftwerk Cover),,,,,,,
Kraftwerk,Schaufensterpuppen,,,,,,,
Tina Turner,Simply The Best,,,,,,,
The Cooper Temple Clause,Isn'T It Strange,,,,,,,
Miss Kittin,Pollution Of The Mind,,,,,,,
Reik,Invierno,,,,,,,
Gilbert Bécaud,Nathalie,,,,,,,
Girls Aloud,Love Is The Key,,,,,,,
Girls Aloud,I Think We'Re Alone Now,,,,,,,
Remy Zero,Hollow,,,,,,,
The Cooper Temple Clause,Who Needs Enemies?,,,,,,,
Girls Aloud,Black Jacks,,,,,,,
Girls Aloud,Close To Love,,,,,,,
Tinariwen,Matadjem Yinmixan,,,,,,,
Cool Kids Of Death,Generacja Nic,,,,,,,
Cool Kids Of Death,Megapixel,,,,,,,
Mj Cole Feat. Laura Vane,Watertight,,,,,,,
Angelo Badalamenti,Red Bats With Teeth,,,,,,,
Squire,You'Re The One,,,,,,,
Kraftwerk,The Telephone Call,,,,,,,
Download,Zass Pie,,,,,,,
Boy Kill Boy,Friday - Friday,,,,,,,
Turbonegro,Babylon Forever,,,,,,,
Down,Eyes Of The South,,,,,,,
Girls Aloud,Theme To St.Trinians,,,,,,,
Girls Aloud,Love Is Pain,,,,,,,
鼓童,Wax Off,,,,,,,
Leftfield,21St Century Poem,,,,,,,
Menomena,Cough Coughing,,,,,,,
As I Lay Dying,Repeating Yesterday,,,,,,,
Britney Spears,Chris Cox Megamix,,,,,,,
Saturday Looks Good To Me,The Girl'S Distracted,,,,,,,
Menomena,Oahu,,,,,,,
Flight Of The Conchords,Mutha'Uckas,,,,,,,
Flogging Molly,Black Friday Rule,,,,,,,
Menomena,The Monkey'S Back,,,,,,,
Bloc Party,Little Thoughts (Extended Version),,,,,,,
Paula Abdul,Opposites Attract,,,,,,,
The Almost,Dirty And Left Out,,,,,,,
Sigur Rós,Vetur,,,,,,,
Arch Enemy,In This Shallow Grave,,,,,,,
Peaches,Two Guys (For Every Girl),,,,,,,
Erlend Øye,Sheltered Life,,,,,,,
Mad Season,Long Gone Day,,,,,,,
Peace Orchestra,Shining,,,,,,,
Windy & Carl,Beyond Asleep,,,,,,,
Windy & Carl,Consciousness,,,,,,,
Pavement,Folk Jam,,,,,,,
Mercenary,World Hate Center,,,,,,,
Snowden,Filler Is Wasted,,,,,,,
The Pretenders,2000 Miles,,,,,,,
Mercenary,Redefine Me,,,,,,,
