artist_name,track_name,Vocal Register,Vocal Timbre Thin to Full,Vocal Breathiness,Vocal Smoothness,Vocal Grittiness,Vocal Nasality,Vocal Accompaniment
The Go! Team,Grip Like A Vice,0.6,0.6,0.4,0.4,0.6,0.4,0.8
The Album Leaf,Streamside,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.E.M.,Hollow Man,0.6,0.6,0.4,0.6,0.4,0.4,0.6
Bonobo,Dinosaurs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Sisters Of Mercy,Temple Of Love,0.2,0.8,0.2,0.4,0.6,0.4,0.4
Yann Tiersen,Comptine D'Un Autre Été : L'Après-Midi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belle And Sebastian,Don'T Leave The Light On Baby,0.6,0.6,0.6,0.8,0.2,0.4,0.6
Death Cab For Cutie,Information Travels Faster,,,,,,,
The Go! Team,Everyone'S A V.I.P. To Someone,,,,,,,
God Lives Underwater,From Your Mouth,,,,,,,
Cliff Martinez,Is That What Everybody Wants,,,,,,,
Porcupine Tree,Anesthetize,,,,,,,
Weird Al Yankovic,White & Nerdy,,,,,,,
Mylo,Need You Tonite,,,,,,,
Nina Simone,Love Me Or Leave Me,,,,,,,
This Will Destroy You,Threads,,,,,,,
Poisonblack,Nothing Else Remains,,,,,,,
Mission Of Burma,Academy Fight Song,,,,,,,
Katie Melua,Halfway Up The Hindu Kush,,,,,,,
Tom Waits,Big Black Mariah,,,,,,,
Nanne,Jag Måste Kyssa Dig,,,,,,,
Garbage,Silence Is Golden,,,,,,,
Mastodon,Bladecatcher,,,,,,,
David Bowie,Scary Monsters (And Super Creeps),,,,,,,
Antsy Pants,Vampire,,,,,,,
The Jackson 5,Abc,,,,,,,
Antony And The Johnsons,Twilight,,,,,,,
The Beatles,Rain,0.6,0.8,0.4,0.8,0.2,0.4,0.6
Art Brut,Nag Nag Nag Nag,,,,,,,
Turisas,Sahti-Waari,,,,,,,
The Chemical Brothers,Marvo Ging,,,,,,,
The White Stripes,Truth Doesn'T Make A Noise,,,,,,,
Dream Theater,Hollow Years,,,,,,,
Iron & Wine,The Rooster Moans,,,,,,,
Toots & The Maytals,Pressure Drop,,,,,,,
Pink Floyd,Outside The Wall,,,,,,,
Fever Ray,Coconut,,,,,,,
Dead Kennedys,Chemical Warfare,,,,,,,
Dead Kennedys,Drug Me,,,,,,,
Norah Jones,The Long Day Is Over,,,,,,,
Yann Tiersen,Watching Lara,,,,,,,
Kreator,Impossible Brutality,,,,,,,
Michael Andrews,The Artifact & Living,,,,,,,
Animal Collective,Brother Sport,,,,,,,
Judas Priest,Riding On The Wind,,,,,,,
The Subways,City Pavement,,,,,,,
Panda Bear,Take Pills,,,,,,,
Final Fantasy,He Poos Clouds,,,,,,,
Final Fantasy,Took You Two Years To Win My Heart,,,,,,,
System Of A Down,Mr. Jack,,,,,,,
God Is An Astronaut,Forever Lost,,,,,,,
The Stooges,Down On The Street,,,,,,,
The Whitest Boy Alive,Dead End,,,,,,,
Ac/Dc,Big Balls,,,,,,,
Ramones,Commando,,,,,,,
Rammstein,Zwitter,,,,,,,
Pulp,Bar Italia,,,,,,,
Alanis Morissette,Underneath,,,,,,,
Ellen Allien & Apparat,Metric,,,,,,,
Dead Kennedys,Viva Las Vegas,,,,,,,
Dead Kennedys,Too Drunk To Fuck,,,,,,,
The White Stripes,Now Mary,,,,,,,
Rebeca,I Love You Mi Vida,,,,,,,
The Chemical Brothers,The Salmon Dance (Feat. Fatlip),,,,,,,
Billy Talent,This Suffering,,,,,,,
John Lennon,Stand By Me,,,,,,,
Rjd2,Cut Out To Fl,,,,,,,
Leftfield,Release The Pressure,,,,,,,
Air,Les Professionnels,,,,,,,
The Feeling,I Want You Now,,,,,,,
Electrelane,On Parade,,,,,,,
Elliott Smith,High Times,,,,,,,
Of Montreal,I Was A Landscape In Your Dream,,,,,,,
Kasabian,Lsf,,,,,,,
Mystery Jets,Half In Love With Elizabeth,,,,,,,
Brazilian Girls,Lazy Lover,,,,,,,
Soilwork,Brickwalker,,,,,,,
God Lives Underwater,Empty,,,,,,,
Jarvis Cocker,Fat Children,,,,,,,
Le Tigre,After Dark,,,,,,,
Dark Tranquillity,Monochromatic Stains,,,,,,,
65Daysofstatic,Install A Beak In The Heart That Clucks Time In Arabic,,,,,,,
Pulp,Help The Aged,,,,,,,
Be Your Own Pet,Wildcat!,,,,,,,
Metallica,St. Anger,,,,,,,
Misfits,All Hell Breaks Loose,,,,,,,
The Charlatans,Blackened Blue Eyes,,,,,,,
Ensiferum,Into Battle,,,,,,,
Beyoncé,Crazy In Love,0.8,1.0,0.4,0.8,0.2,0.2,0.6
Red Hot Chili Peppers,The Righteous & The Wicked,,,,,,,
Air,Ghost Song,,,,,,,
Jack Johnson,The News,,,,,,,
Nightwish,The Riddler,,,,,,,
David Bowie,The Prettiest Star,,,,,,,
Mogwai,Ex-Cowboy,,,,,,,
Cat Power,Nude As The News,,,,,,,
Tom Waits,Underground,,,,,,,
Ben Folds,Rockin' The Suburbs,0.4,0.6,0.2,0.6,0.4,0.4,0.6
Cat Power,Wonderwall,,,,,,,
The Beatles,It'S Only Love,,,,,,,
Junior Boys,So This Is Goodbye,,,,,,,
Pendulum,Another Planet,,,,,,,
Megadeth,Skin O' My Teeth,,,,,,,
The Russian Futurists,2 Dots On A Map,,,,,,,
Devo,Freedom Of Choice,,,,,,,
Covenant,Dead Stars (Version),,,,,,,
Bright Eyes,Light Pollution,,,,,,,
Rilo Kiley,Science Vs. Romance,0.8,0.6,0.6,0.8,0.4,0.6,0.4
Flunk,Play,,,,,,,
Scarface,On My Block,,,,,,,
Roger Sanchez,Lost,,,,,,,
Timbaland,Scream (Feat. Keri Hilson & Nicole Scherzinger),,,,,,,
The Horrors,Gloves,,,,,,,
The Verve,Columbo,,,,,,,
Destiny'S Child,Survivor,,,,,,,
Minus The Bear,We Are Not A Football Team,,,,,,,
The Format,She Doesn'T Get It,,,,,,,
Tapes 'N Tapes,Manitoba,,,,,,,
Katatonia,Tonight'S Music,0.6,0.8,0.6,0.8,0.4,0.2,0.4
Late Of The Pier,Hot Tent Blues,,,,,,,
Rage Against The Machine,New Millennium Homes,,,,,,,
Bebel Gilberto,Tanto Tempo,,,,,,,
Bôa,Duvet,,,,,,,
The Jesus And Mary Chain,Upside Down,0.6,0.4,0.2,0.2,1.0,0.6,0.0
Him,(Don'T Fear) The Reaper,,,,,,,
The Lonely Island,I'M On A Boat (Feat. T-Pain),,,,,,,
Moby,God Moving Over The Face Of The Waters,,,,,,,
Richard Hell & The Voidoids,Blank Generation,,,,,,,
Israel KamakawiwoʻOle,Somewhere Over The Rainbow / What A Wonderful World,,,,,,,
Megadeth,Trust,,,,,,,
Smash Mouth,Walkin' On The Sun,,,,,,,
David Bowie,A New Career In A New Town,,,,,,,
Rammstein,Feuer Frei!,,,,,,,
Abingdon Boys School,Innocent Sorrow (Tv Size),,,,,,,
Adam And The Ants,Prince Charming,,,,,,,
Snow Patrol,Set Down Your Glass,,,,,,,
Mates Of State,For The Actor,,,,,,,
Metronomy,Trick Or Treatz,,,,,,,
Britney Spears,Boys,,,,,,,
Amorphis,Brother Moon,,,,,,,
Cocorosie,West Side,,,,,,,
Au Revoir Simone,Fallen Snow,,,,,,,
Elvis Costello,Watching The Detectives,,,,,,,
Kt Tunstall,Through The Dark,,,,,,,
Au Revoir Simone,The Lucky One,,,,,,,
Within Temptation,The Cross,,,,,,,
50 Cent,Candy Shop,,,,,,,
Anathema,Deep,,,,,,,
Anathema,Panic,,,,,,,
Marija Šerifović,Molitva,,,,,,,
The Black Angels,You On The Run,,,,,,,
Caribou,Hello Hammerheads,,,,,,,
Sleater-Kinney,What'S Mine Is Yours,,,,,,,
The New Pornographers,Go Places,,,,,,,
Rufus Wainwright,Rebel Prince,,,,,,,
Audioslave,Wide Awake,,,,,,,
Pearl Jam,Man Of The Hour,,,,,,,
Nine Inch Nails,The Downward Spiral,,,,,,,
Amon Tobin,Slowly,,,,,,,
Modest Mouse,Interstate 8,,,,,,,
The Raveonettes,My Boyfriend'S Back,,,,,,,
Q. Lazzarus,Goodbye Horses,,,,,,,
Gwen Stefani,Serious,,,,,,,
Ted Leo And The Pharmacists,Little Dawn,,,,,,,
Placebo,Daddy Cool,,,,,,,
Morrissey,Come Back To Camden,,,,,,,
Secret Machines,Light'S On,,,,,,,
Taking Back Sunday,Set Phasers To Stun,,,,,,,
Sneaker Pimps,Wasted Early Sunday Morning,0.6,0.6,0.8,0.8,0.2,0.4,0.4
Pj Harvey,To Bring You My Love,,,,,,,
Taking Back Sunday,What'S It Feel Like To Be A Ghost?,,,,,,,
The Smashing Pumpkins,Take Me Down,0.4,0.4,0.8,0.6,0.2,0.4,0.4
Giant Drag,Blunt Picket Fence,,,,,,,
Ladytron,Fire,,,,,,,
Taking Back Sunday,Divine Intervention,,,,,,,
Marilyn Manson,Get Your Gunn,,,,,,,
The Smashing Pumpkins,Stumbleine,,,,,,,
Maxïmo Park,Nosebleed,,,,,,,
Wire,Outdoor Miner,,,,,,,
Chemistry,Wings Of Words (Alas De Palabras),,,,,,,
Neko Case,The Needle Has Landed,,,,,,,
Blur,Country Sad Ballad Man,,,,,,,
Midlake,In This Camp,,,,,,,
Chemistry,Here I Am,0.8,0.8,0.6,0.8,0.2,0.4,0.6
Skid Row,Slave To The Grind,,,,,,,
Emilíana Torrini,Today Has Been Ok,,,,,,,
Metallica,Dyers Eve,,,,,,,
The Used,The Bird And The Worm,,,,,,,
Lady Sovereign,Random,,,,,,,
Ac/Dc,Stiff Upper Lip,,,,,,,
Tori Amos,China,,,,,,,
Blur,I'M Just A Killer For Your Love,,,,,,,
Avenged Sevenfold,Afterlife,,,,,,,
Incubus,Are You In,,,,,,,
Anathema,Forgotten Hopes,,,,,,,
Anathema,Lost Control,,,,,,,
Dirty Pretty Things,The Enemy,,,,,,,
Esthero,That Girl,,,,,,,
Hard-Fi,Middle Eastern Holiday,,,,,,,
