artist_name,track_name,Vocal Register,Vocal Timbre Thin to Full,Vocal Breathiness,Vocal Smoothness,Vocal Grittiness,Vocal Nasality,Vocal Accompaniment
Robbie Williams,I Will Talk And Hollywood Will Listen,0.6,0.8,0.4,1.0,0.2,0.2,0.4
New Order,Guilt Is A Useless Emotion,0.6,0.6,0.4,0.8,0.2,0.4,0.6
Negative,Planet Of The Sun,0.6,0.8,0.4,0.6,0.8,0.2,0.6
The Chemical Brothers,Come With Us,0.6,0.4,0.6,0.8,0.2,0.4,0.2
Travis,Safe,0.6,0.6,0.6,0.8,0.2,0.4,0.4
Los Campesinos!,Drop It Doe Eyes,0.6,0.4,0.4,0.6,0.4,0.6,0.8
Van She,Strangers,0.6,0.6,0.8,0.8,0.2,0.4,0.6
Bob Dylan,Ain'T Talkin',0.4,0.6,0.4,0.2,0.8,0.8,0.0
Travis,She'S So Strange,,,,,,,
Londonbeat,I'Ve Been Thinking About You,,,,,,,
Chromeo,Rage!,,,,,,,
The Brunettes,Loopy Loopy Love,,,,,,,
Coldplay,Yellow (Acoustic Version),,,,,,,
Black Sabbath,Behind The Wall Of Sleep,,,,,,,
The Isley Brothers,That Lady,,,,,,,
Ra Ra Riot,Too Too Too Fast,,,,,,,
Flight Of The Conchords,Robots,,,,,,,
Flight Of The Conchords,Inner City Pressure,,,,,,,
Brand New,Magazines,,,,,,,
Pantera,10'S,,,,,,,
Mastodon,Crusher Destroyer,,,,,,,
Guru Josh Project,Infinity 2008 (Klaas Remix),,,,,,,
The Runaways,Cherry Bomb,,,,,,,
John Farnham,You'Re The Voice,,,,,,,
Late Of The Pier,The Enemy Are The Future,,,,,,,
Sloan,The Other Man,,,,,,,
Dead Or Alive,You Spin Me Round,,,,,,,
Joe Satriani,The Meaning Of Love,,,,,,,
The Bird And The Bee,La La La,0.8,0.4,0.8,1.0,0.0,0.4,0.6
Badly Drawn Boy,The Further I Slide,,,,,,,
The Virgins,Rich Girls,,,,,,,
Sister Sledge,We Are Family,,,,,,,
Beatsteaks,Monster,,,,,,,
Tiamat,Light In Extension,,,,,,,
Deerhoof,Chatterboxes,,,,,,,
Christina Aguilera,Understand,,,,,,,
Backyard Babies,Star War,,,,,,,
Depeche Mode,Tora! Tora! Tora!,,,,,,,
David Bowie,Station To Station,,,,,,,
Good Shoes,Blue Eyes,0.6,0.4,0.4,0.6,0.2,0.8,0.4
The Coral,Wildfire,,,,,,,
Refused,Protest Song '68,,,,,,,
Ensiferum,Treacherous Gods,,,,,,,
Clutch,The Regulator,,,,,,,
Lucinda Williams,Right In Time,,,,,,,
Rank 1,Airwave (Rank 1 Vs. Dutch Force Mix),,,,,,,
Behemoth,The Nephilim Rising,,,,,,,
Sons And Daughters,Hunt,,,,,,,
The Knife,We Share Our Mothers Health (Trentemøller Remix),,,,,,,
65Daysofstatic,Wax Futures,,,,,,,
Queen,Let Me Live,,,,,,,
Atmosphere,The Skinny,,,,,,,
Queen,Liar,,,,,,,
Megadeth,This Was My Life,,,,,,,
Joss Stone,Music (Feat. Lauryn Hill),,,,,,,
The Organ,There Is Nothing I Can Do,,,,,,,
Jimmy Eat World,Just Tonight...,,,,,,,
Lovage,To Catch A Thief,,,,,,,
Tiamat,Love In Chains,,,,,,,
Leftöver Crack,Rock The 40 Oz.,,,,,,,
Chemistry Set,New Hope Pa,0.6,0.6,0.4,0.8,0.4,0.4,0.6
Ane Brun,This Voice,,,,,,,
Rogue Wave,Lake Michigan,,,,,,,
Belle And Sebastian,Legal Man,,,,,,,
Creed,What'S This Life For,,,,,,,
Melanie C,Northern Star,,,,,,,
Thievery Corporation,Doors Of Perception (Feat. Gunjan),,,,,,,
Cat Stevens,The First Cut Is The Deepest,,,,,,,
Tristania,Lost,,,,,,,
Elvenking,Under The Tree Of Us'Dum,,,,,,,
Gary Numan,Are Friends Electric,,,,,,,
Rjd2,2 More Dead,,,,,,,
The Chameleons,Nostalgia,,,,,,,
Funkerman,Speed Up,,,,,,,
Funeral For A Friend,Walk Away,,,,,,,
The Chameleons,Second Skin,,,,,,,
The Notwist,Alphabet,,,,,,,
Kent,Before It All Ends,,,,,,,
Ac/Dc,Danger,,,,,,,
Kent,Elefanter,,,,,,,
Guano Apes,Rain,,,,,,,
The Crystal Method,Cherry Twist,,,,,,,
Slowdive,Waves,,,,,,,
Thrice,The Earth Will Shake,,,,,,,
The Fiery Furnaces,Up In The North,,,,,,,
Ulrich Schnauss,Blumenthal,,,,,,,
Hooverphonic,2Wicky,,,,,,,
Sloan,Someone That I Can Be True With,,,,,,,
Pulp,Dishes,,,,,,,
Morrissey,Mama Lay Softly On The Riverbed,,,,,,,
Morrissey,It'S Not Your Birthday Anymore,,,,,,,
Kamelot,Center Of The Universe,,,,,,,
Thievery Corporation,The State Of The Union,,,,,,,
My Brightest Diamond,The Robin'S Jar,,,,,,,
The All-American Rejects,Why Worry,,,,,,,
J Dilla,Stop,,,,,,,
No Doubt,Making Out,,,,,,,
No Doubt,Hey You,,,,,,,
Andrew Bird,Fitz And The Dizzyspells,,,,,,,
Stars Of The Lid,Even If You'Re Never Awake (Deuxième),,,,,,,
The Jimi Hendrix Experience,Third Stone From The Sun,,,,,,,
Mirah,Million Miles,,,,,,,
Tristania,Dementia,,,,,,,
Travis,U16 Girls,,,,,,,
Darkthrone,The Serpents Harvest,,,,,,,
Enigma,Shadows In Silence,,,,,,,
My Dying Bride,The Cry Of Mankind,,,,,,,
Stars Of The Lid,Even (Out) +,,,,,,,
The Jesus And Mary Chain,Gimme Hell,,,,,,,
Ben Harper,She'S Only Happy In The Sun,,,,,,,
The Jesus And Mary Chain,Cherry Came Too,,,,,,,
The Slits,Shoplifting,,,,,,,
Ben Harper,The Drugs Don'T Work,,,,,,,
Iron Maiden,Another Life,,,,,,,
Matchbox Twenty,Damn,,,,,,,
Stars,In Our Bedroom After The War,,,,,,,
Mirah,The Light,,,,,,,
Sons And Daughters,Monsters,,,,,,,
The Frames,Dream Awake,,,,,,,
E-Funk Feat. Donica Thorton,Shout,,,,,,,
Craig Armstrong,Sea Song,,,,,,,
Kaki King,Life Being What It Is,,,,,,,
Soilwork,Final Fatal Force,,,,,,,
Darkthrone,Slottet I Det Fjerne,,,,,,,
The Used,A Box Full Of Sharp Objects,,,,,,,
The Kooks,One Last Time,,,,,,,
Echo & The Bunnymen,Do It Clean,,,,,,,
Joy Division,Twenty-Four Hours,,,,,,,
Regina Spektor,Reading Time With Pickle,,,,,,,
Mgmt,Kids (Soulwax Remix),,,,,,,
Pink Floyd,Two Suns In The Sunset,,,,,,,
Japan,Ghosts,,,,,,,
Accept,Metal Heart,,,,,,,
Bright Eyes,The City Has Sex,,,,,,,
Neneh Cherry,Buffalo Stance,,,,,,,
Rainbow,Gates Of Babylon,,,,,,,
The Streets,What Is He Thinking?,,,,,,,
Gramme,Like You,,,,,,,
A Silver Mt. Zion,God Bless Our Dead Marines,,,,,,,
Pedro The Lion,Pedro The Lion - Track 07,,,,,,,
Dungen,Festival,,,,,,,
Beth Orton,Central Reservation (Original Version),,,,,,,
Spacemen 3,May The Circle Be Unbroken,,,,,,,
Delerium,Euphoria (Firefly),,,,,,,
Róisín Murphy,Through Time,,,,,,,
The Beatles,You'Re Going To Lose That Girl,,,,,,,
Children Of Bodom,She Is Beautiful,,,,,,,
The Streets,Hotel Expressionism,,,,,,,
Cream,We'Re Going Wrong,,,,,,,
Metallica,Slither,0.4,0.8,0.2,0.4,1.0,0.2,0.4
Marilyn Manson,Lamb Of God,,,,,,,
Beck,Soul Suckin Jerk,,,,,,,
Kid Loco,A Grand Love Theme,,,,,,,
Kamelot,Love You To Death,,,,,,,
Metric,Siamese Cities,,,,,,,
Kid Loco,Sister Curare,,,,,,,
Kid Loco,She Woolf Daydreaming,,,,,,,
Metronomy,Back On The Motorway,,,,,,,
My Morning Jacket,Lowdown,,,,,,,
Fair To Midland,Say When,,,,,,,
Kamelot,Anthem,,,,,,,
My Morning Jacket,Highly Suspicious,,,,,,,
Lighthouse Family,High,,,,,,,
Air France,Maundy Thursday,,,,,,,
Kaizers Orchestra,Ompa Til Du Dør,,,,,,,
The Apples In Stereo,Innerspace,0.6,0.6,0.4,0.8,0.2,0.6,0.8
Mates Of State,An Experiment,,,,,,,
J Dilla,Time: The Donut Of The Heart,,,,,,,
The Cure,The Holy Hour,,,,,,,
Bad Brains,Sacred Love,,,,,,,
Sleater-Kinney,Sympathy,,,,,,,
Bright Eyes,Black Comedy,,,,,,,
Dead Can Dance,Song Of Sophia,,,,,,,
Dr. Alban,It'S My Life,,,,,,,
Communiqué,Perfect Weapon,,,,,,,
Peaches,I U She,,,,,,,
The Cooper Temple Clause,All I See Is You,,,,,,,
Richard Ashcroft,Why Not Nothing?,,,,,,,
Tiger Lou,The Loyal,,,,,,,
Depeche Mode,To Have And To Hold,,,,,,,
The Music,Strength In Numbers,,,,,,,
Animal Collective,Whaddit I Done,,,,,,,
Gang Of Four,5.45,,,,,,,
Gwen Stefani,Wonderful Life,,,,,,,
The New Pornographers,Execution Day,,,,,,,
The Bronx,Small Stone,,,,,,,
Marillion,Pseudo Silk Kimono,,,,,,,
T'Pau,China In Your Hand,,,,,,,
Emperor,Ye Entrancemperium,,,,,,,
The Music,Float,,,,,,,
Gwen Stefani,Yummy,,,,,,,
Gang Starr,Above The Clouds,,,,,,,
Ok Go,Don'T Ask Me,,,,,,,
Max Richter,Autumn Music 1,,,,,,,
Beirut,My Wife,,,,,,,
Big Brother & The Holding Company,Piece Of My Heart,,,,,,,
Vivian Girls,Wild Eyes,,,,,,,
Caribou,Sundialing,,,,,,,
Thievery Corporation,Resolution,,,,,,,
Ryan Adams,So Alive,,,,,,,
Nelly Furtado,Maneater (Radio Version),,,,,,,
Alkaline Trio,Armageddon,,,,,,,
The Horrors,Thunderclaps,,,,,,,
Whitesnake,Hungry For Love,,,,,,,
Skinny Puppy,I'Mmortal,,,,,,,
Duffy,Rain On Your Parade,,,,,,,
Chapterhouse,Falling Down,,,,,,,
Vivian Girls,Going Insane,,,,,,,
