artist_name,track_name,Vocal Register,Vocal Timbre Thin to Full,Vocal Breathiness,Vocal Smoothness,Vocal Grittiness,Vocal Nasality,Vocal Accompaniment
David Gilmour,On An Island,0.6,0.8,0.6,1.0,0.2,0.4,0.6
Children Of Bodom,Tie My Rope,0.6,0.6,0.2,0.2,1.0,0.4,0.4
The Who,The Song Is Over,0.6,0.8,0.4,0.6,0.4,0.2,0.8
Emma Bunton,Free Me,0.8,0.8,1.0,1.0,0.0,0.2,0.6
The Black Crowes,Locust Street,0.6,0.8,0.4,0.6,0.8,0.2,0.6
Basement Jaxx,Bingo Bango,0.6,0.6,0.4,0.6,0.2,0.2,0.8
Blur,Caravan,0.6,0.6,0.8,0.8,0.4,0.4,0.6
Emperor,Thus Spake The Nightspirit,,,,,,,
Depeche Mode,Puppets,,,,,,,
Emma Bunton,No Sign Of Life,,,,,,,
Metallica,Cure,,,,,,,
Athlete,You Got The Style,,,,,,,
Grizzly Bear,Deep Sea Diver,,,,,,,
Massive Attack,Eurochild,,,,,,,
Patti Smith,Rock N Roll Nigger,,,,,,,
Jimi Hendrix,Voodoo Child,,,,,,,
Timbaland,Time (Feat. She Wants Revenge),,,,,,,
James Brown,I Feel Good,0.6,1.0,0.2,0.4,0.8,0.2,0.4
Scissor Sisters,The Other Side,,,,,,,
The Darkness,Bald,,,,,,,
Robyn,Cobrastyle,,,,,,,
Buzzcocks,Just Lust,,,,,,,
Editors,Distance,,,,,,,
The Futureheads,News And Tributes,,,,,,,
Mr. Bungle,Carousel,,,,,,,
T.M.Revolution,ウルワシキセカイ,,,,,,,
Morrissey,At Last I Am Born,,,,,,,
Stars,Life Effect,,,,,,,
Atmosphere,Trying To Find A Balance,,,,,,,
Gomez,Charley Patton Songs,,,,,,,
Ayreon,Day Sixteen: Loser,,,,,,,
Cocorosie,Haitian Love Songs,,,,,,,
Muse,Hyper Chondriac Music,,,,,,,
Miranda Lambert,Desperation,,,,,,,
Erykah Badu,The Healer,,,,,,,
Muse,Forced In,,,,,,,
Queens Of The Stone Age,First It Giveth Number One,0.6,0.8,0.2,0.4,0.8,0.4,0.4
Aesop Rock,Boombox,,,,,,,
Neil Young,Tell Me Why,,,,,,,
Pearl Jam,Wasted Reprise,,,,,,,
Jane'S Addiction,Been Caught Stealing,,,,,,,
Liquid Tension Experiment,Acid Rain,,,,,,,
Duels,The Slow Build,,,,,,,
Nightwish,The Carpenter,,,,,,,
Black Flag,Beat My Head Against The Wall,,,,,,,
The Black Angels,Deer-Ree-Shee,,,,,,,
The New Pornographers,Testament To Youth In Verse,,,,,,,
The Bravery,No Breaks,,,,,,,
The Cramps,Goo Goo Muck,,,,,,,
The Offspring,She'S Got Issues,,,,,,,
