artist_name,track_name,Vocal Register,Vocal Timbre Thin to Full,Vocal Breathiness,Vocal Smoothness,Vocal Grittiness,Vocal Nasality,Vocal Accompaniment
Alterkicks,Oh Honey,0.6,0.6,0.4,0.8,0.2,0.4,0.6
Pain Of Salvation,Ending Theme,0.6,0.8,0.4,0.8,0.6,0.2,0.6
Ac/Dc,Fly On The Wall,0.6,0.8,0.4,0.4,1.0,0.6,0.4
Joe Satriani,The Crush Of Love,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arovane,Cry Osaka Cry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dead Boys,Caught With The Meat In Your Mouth,0.6,0.6,0.2,0.2,0.8,0.4,0.2
Enya,Storms In Africa,0.8,0.6,1.0,1.0,0.0,0.2,0.8
Ac/Dc,Get It Hot,0.4,0.8,0.2,0.2,0.8,0.4,0.2
Simple Plan,When I'M Gone,0.6,0.6,0.4,0.8,0.4,0.2,0.6
Peaches,Hit It Hard,,,,,,,
Blood Red Shoes,This Is Not For You,,,,,,,
Pavement,Kennel District,,,,,,,
Mahogany,Chance,,,,,,,
Desaparecidos,Mañana,,,,,,,
Sade,All About Our Love,,,,,,,
Stephen Malkmus,Freeze The Saints,,,,,,,
Stephen Malkmus,Church On White,,,,,,,
Jenny Owen Youngs,Porchrail,,,,,,,
Jenny Lewis,Pretty Bird,,,,,,,
The Brian Jonestown Massacre,Oh Lord,,,,,,,
Sleater-Kinney,Ironclad,,,,,,,
The Smashing Pumpkins,Plume,,,,,,,
Built To Spill,You Were Right,,,,,,,
Doves,Winter Hill,,,,,,,
Doves,Shadows Of Salford,,,,,,,
The Kinks,Johnny Thunder,,,,,,,
Ben Kweller,Harriet'S Got A Song,,,,,,,
Atc,Around The World,,,,,,,
Sleater-Kinney,Step Aside,,,,,,,
Timo Maas,To Get Down,,,,,,,
Frank Sinatra,That'S Life,,,,,,,
Coldplay,'Til Kingdom Come (Acoustic),,,,,,,
The Dead Milkmen,I Walk The Thinnest Line,,,,,,,
Röyksopp,What Else Is There? (Trentemøller Remix),,,,,,,
Czesław Śpiewa,Tyłem Do Przodka,,,,,,,
Enya,Deora Ar Mo Chroí,,,,,,,
The Blow,Bonjour Jeune Fille,,,,,,,
Badly Drawn Boy,You Were Right,,,,,,,
Hilary Duff,Reach Out,,,,,,,
Iron Maiden,Hooks In You,,,,,,,
Starsailor,Tie Up My Hands,,,,,,,
Iron Maiden,The Fugitive,,,,,,,
Iron Maiden,Total Eclipse,,,,,,,
Status Quo,In The Army Now,,,,,,,
Motörhead,God Was Never On Your Side,,,,,,,
Don Johnson Big Band,Island Girl,,,,,,,
Slayer,Crionics,0.4,0.6,0.2,0.2,0.8,0.2,0.0
Arcturus,Nightmare Heaven,,,,,,,
Slayer,Chemical Warfare,,,,,,,
Freeland,Nowism,,,,,,,
Venetian Snares,Kétsarkú Mozgalom,,,,,,,
St. Vincent,All My Stars Aligned,,,,,,,
Nine Inch Nails,Ripe (With Decay),,,,,,,
Vitalic,Poney Part I,,,,,,,
Television Personalities,The Glittering Prizes,,,,,,,
Rufus Wainwright,The Maker Makes,,,,,,,
The Cult,Spiritwalker,,,,,,,
Tunng,Stories,,,,,,,
De La Soul,Potholes In My Lawn,,,,,,,
Built To Spill,Time Trap,,,,,,,
Underground Kingz,Int'L Players Anthem (I Choose You) (Feat. Outkast),,,,,,,
Siouxsie And The Banshees,Dazzle,,,,,,,
Sleater-Kinney,Hot Rock,,,,,,,
Miss Kittin,Happy Violentine,,,,,,,
Depeche Mode,What'S Your Name?,,,,,,,
Miss Kittin,Grace,,,,,,,
Idlewild,Make Another World,,,,,,,
Amon Tobin,Stoney Street,,,,,,,
Ayreon,Day Eleven: Love,,,,,,,
Jonas Brothers,Can'T Have You,,,,,,,
Kate Havnevik,Unlike Me,,,,,,,
Cmx,Olet Tässä,,,,,,,
Idlewild,In Competition For The Worst Time,,,,,,,
Siouxsie And The Banshees,This Wheel'S On Fire,,,,,,,
Afi,Initiation,,,,,,,
Hank Williams Iii,Crazed Country Rebel,,,,,,,
Chicks On Speed,Kaltes Klares Wasser,,,,,,,
Slayer,Evil Has No Boundaries,,,,,,,
The Cure,Icing Sugar,,,,,,,
Slayer,Exile,,,,,,,
Built To Spill,I Would Hurt A Fly,,,,,,,
Johnny Foreigner,The End And Everything After,,,,,,,
Johnny Foreigner,Yes! You Talk Too Fast,,,,,,,
Slagsmålsklubben,Hit Me Hard,,,,,,,
Freemasons,Rain Down Love,,,,,,,
Amorphis,God Of Deception,,,,,,,
New Found Glory,Sucker,,,,,,,
The Lucksmiths,The Chapter In Your Life Entitled San Francisco,,,,,,,
Amorphis,Greed,,,,,,,
Golden Boy With Miss Kittin,Rippin Kittin,,,,,,,
Tenacious D,Sasquatch,,,,,,,
Incubus,Smile Lines,,,,,,,
Wonderland Avenue,White Horse,,,,,,,
The Notorious B.I.G.,One More Chance,,,,,,,
The Notorious B.I.G.,The What,,,,,,,
The Maccabees,Happy Faces,,,,,,,
The Verve,Brainstorm Interlude,,,,,,,
Afi,Porphyria Cutanea Tarda,,,,,,,
The Distillers,The Hunger,,,,,,,
Clutch,The Incomparable Mr. Flannery,,,,,,,
Iron Maiden,Stranger In A Strange Land,,,,,,,
Iron Maiden,Age Of Innocence,,,,,,,
The 69 Eyes,Beneath The Blue,,,,,,,
Iron Maiden,Run Silent Run Deep,,,,,,,
Third Eye Blind,Motorcycle Drive By,,,,,,,
Mf Doom,One Beer,,,,,,,
Mf Doom,Fillet-O-Rapper,,,,,,,
Born Ruffians,Badonkadonkey,,,,,,,
The Breeders,Happiness Is A Warm Gun,,,,,,,
M83,Gone,,,,,,,
R.E.M.,Catapult,,,,,,,
Longview,If You Asked,,,,,,,
Mae,Anything,,,,,,,
Groove Armada,Lightsonic,,,,,,,
Longview,Falling For You,,,,,,,
Pain,Not Afraid To Die,,,,,,,
Emily Haines & The Soft Skeleton,Telethon,,,,,,,
Depeche Mode,Nothing To Fear,,,,,,,
Tunng,Man In The Box,,,,,,,
Amon Tobin,New York Editor,,,,,,,
Rasputina,Doomsday Averted,0.6,0.6,0.4,0.6,0.4,0.2,0.6
The Prodigy,Shoot Down,,,,,,,
Kavinsky,Testarossa Autodrive (Sebastian Remix),,,,,,,
Bright Eyes,Well Whiskey,,,,,,,
Xiu Xiu,Poe Poe,,,,,,,
Jon Brion,Strings That Tie To You,,,,,,,
Japan,Life In Tokyo,,,,,,,
Vivian Girls,I Believe In Nothing,,,,,,,
Vive La Fête,Mon Dieu,,,,,,,
Ayreon,Day Ten: Memories,,,,,,,
Coldplay,Glass Of Water,,,,,,,
Ryan Adams,Starlite Diner,,,,,,,
The Used,Maybe Memories,,,,,,,
Afi,Narrative Of Soul Against Soul,,,,,,,
Dope Stars Inc.,Can You Imagine,,,,,,,
Atmosphere,Fuck You Lucy,,,,,,,
Bright Eyes,The Calendar Hung Itself...,,,,,,,
Badly Drawn Boy,Fall In A River,,,,,,,
Whitesnake,Saints An' Sinners,0.8,1.0,0.2,0.4,0.8,0.4,0.6
The Hellacopters,Everything'S On Tv,,,,,,,
Empire Of The Sun,Without You,,,,,,,
David Gilmour,Red Sky At Night,,,,,,,
Pink Martini,Hang On Little Tomato,,,,,,,
The Hives,Declare Guerre Nucleaire,,,,,,,
Skinny Puppy,Anger,,,,,,,
Keane,The Iron Sea,,,,,,,
Passions,Emergency,,,,,,,
The Fall,Mr. Pharmacist,,,,,,,
Bon Jovi,Someday I'Ll Be Saturday Night,0.8,0.8,0.4,0.6,0.6,0.2,0.6
Emperor,With Strength I Burn,,,,,,,
Mr. Bungle,None Of Them Knew They Were Robots,,,,,,,
The Rolling Stones,Stray Cat Blues,,,,,,,
Terror Squad,Lean Back,,,,,,,
David Vendetta Vs. Rachael Starr,Bleeding Heart,,,,,,,
Meat Loaf,45 Seconds Of Ecstasy,,,,,,,
Lamb Of God,More Time To Kill,,,,,,,
Ulver,Tomorrow Never Knows,,,,,,,
Pavement,Best Friend'S Arm,,,,,,,
Nevermore,Sentient 6,,,,,,,
Nevermore,Never Purify,,,,,,,
Yellowcard,City Of Devils,,,,,,,
*Nsync,Gone,,,,,,,
Nevermore,Evolution 169,,,,,,,
