artist_name,track_name,Vocal Register,Vocal Timbre Thin to Full,Vocal Breathiness,Vocal Smoothness,Vocal Grittiness,Vocal Nasality,Vocal Accompaniment
Mando Diao,Sweet Ride,0.6,0.8,0.4,0.6,0.6,0.4,0.6
The New Pornographers,Challengers,0.6,0.6,0.6,0.8,0.2,0.4,0.8
Elbow,Leaders Of The Free World,0.6,0.8,0.4,0.6,0.6,0.4,0.4
New Order,60 Miles An Hour,0.4,0.6,0.4,0.6,0.2,0.4,0.4
Battles,Snare Hangar,0.4,0.4,0.2,0.6,0.4,0.4,0.8
The Faint,Worked Up So Sexual,0.6,0.4,0.6,0.6,0.4,0.4,0.6
Sheryl Crow,Real Gone,0.8,1.0,0.2,0.6,0.8,0.4,0.4
Elliott Smith,Don'T Go Down,0.6,0.6,0.6,0.6,0.4,0.4,0.4
Babyshambles,In Love With A Feeling,,,,,,,
Pink Martini,Sympathique,,,,,,,
Bob Dylan,Idiot Wind,,,,,,,
Kanye West,We Don'T Care,,,,,,,
Rage Against The Machine,Township Rebellion,,,,,,,
Britney Spears,Lonely,,,,,,,
Kate Bush,The Dreaming,,,,,,,
Rage Against The Machine,Settle For Nothing,,,,,,,
Within Temptation,All I Need,,,,,,,
Architecture In Helsinki,Need To Shout,,,,,,,
Aphex Twin,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jet,Move On,,,,,,,
The Dresden Dolls,Mandy Goes To Med School,,,,,,,
My Brightest Diamond,Something Of An End,,,,,,,
Radiohead,Lurgee,,,,,,,
Cat Power,Shaking Paper,,,,,,,
Islands,Jogging Gorgeous Summer,,,,,,,
Death Cab For Cutie,For What Reason,,,,,,,
David Bowie,Speed Of Life,,,,,,,
Amorphis,Towards And Against,0.4,0.8,0.2,0.4,0.8,0.2,0.2
Beirut,After The Curtain,,,,,,,
In Flames,Satellites And Astronauts,,,,,,,
Lady Gaga,I Like It Rough,,,,,,,
Patti Smith,Because The Night,0.8,0.8,0.6,0.6,0.6,0.4,0.8
