artist_name,track_name,Drum Set,Drum Aggressiveness,Synthetic Drums,Percussion,Electric Guitar,Electric Guitar Distortion,Acoustic Guitar,String Ensemble,Horn Ensemble,Piano,Organ,Rhodes,Synthesizer,Synth Timbre,Bass Guitar,Reed Instrument
Cocorosie,Houses,0.2,0.2,0.6,0.8,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.6,0.4,0.4,0.2
Olspur,It'S A Hungry World,,,,,,,,,,,,,,,,
Guided By Voices,Hot Freaks,,,,,,,,,,,,,,,,
Xiu Xiu,Vulture Piano,,,,,,,,,,,,,,,,
Tiga,The Ballad Of Sexor,,,,,,,,,,,,,,,,
Bat For Lashes,Siren Song,,,,,,,,,,,,,,,,
Sonic Syndicate,Prelude To Extinction,,,,,,,,,,,,,,,,
The Donnas,Take It Off,,,,,,,,,,,,,,,,
Andrew Bird,Scythian Empires,,,,,,,,,,,,,,,,
Jimmy Eat World,For Me This Is Heaven,,,,,,,,,,,,,,,,
Weezer,This Is Such A Pity,0.8,0.6,0.0,0.2,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.0
Thursday,War All The Time,,,,,,,,,,,,,,,,
The Sundays,Here'S Where The Story Ends,,,,,,,,,,,,,,,,
Cassius,Feeling For You,,,,,,,,,,,,,,,,
The Killers,A Crippling Blow,,,,,,,,,,,,,,,,
Orchestral Manoeuvres In The Dark,Joan Of Arc,,,,,,,,,,,,,,,,
Elbow,My Very Best,,,,,,,,,,,,,,,,
Porcupine Tree,Glass Arm Shattering,,,,,,,,,,,,,,,,
Gnarls Barkley,Necromancer,,,,,,,,,,,,,,,,
Michael Bublé,Everything,,,,,,,,,,,,,,,,
Stars,The Vanishing,,,,,,,,,,,,,,,,
The Pipettes,Sex,,,,,,,,,,,,,,,,
Casiotone For The Painfully Alone,Scattered Pearls,,,,,,,,,,,,,,,,
Felix Da Housecat,Madame Hollywood,,,,,,,,,,,,,,,,
Bad Religion,American Jesus,,,,,,,,,,,,,,,,
Orchestral Manoeuvres In The Dark,Bunker Soldiers,,,,,,,,,,,,,,,,
Pink Floyd,Julia Dream,,,,,,,,,,,,,,,,
Lucky Soul,Lips Are Unhappy,,,,,,,,,,,,,,,,
Lil Wayne,Lollipop,,,,,,,,,,,,,,,,
Sébastien Tellier,Divine,,,,,,,,,,,,,,,,
Rilo Kiley,The Angels Hung Around,,,,,,,,,,,,,,,,
Rilo Kiley,Wires And Waves,,,,,,,,,,,,,,,,
Twisted Sister,We'Re Not Gonna Take It,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Katatonia,Clean Today,,,,,,,,,,,,,,,,
