artist_name,track_name,Drum Set,Drum Aggressiveness,Synthetic Drums,Percussion,Electric Guitar,Electric Guitar Distortion,Acoustic Guitar,String Ensemble,Horn Ensemble,Piano,Organ,Rhodes,Synthesizer,Synth Timbre,Bass Guitar,Reed Instrument
Mando Diao,Sweet Ride,,,,,,,,,,,,,,,,
Elliott Smith,Don'T Go Down,,,,,,,,,,,,,,,,
Pink Martini,Sympathique,,,,,,,,,,,,,,,,
Babyshambles,In Love With A Feeling,,,,,,,,,,,,,,,,
Battles,Snare Hangar,,,,,,,,,,,,,,,,
The Faint,Worked Up So Sexual,,,,,,,,,,,,,,,,
Sheryl Crow,Real Gone,,,,,,,,,,,,,,,,
New Order,60 Miles An Hour,,,,,,,,,,,,,,,,
Elbow,Leaders Of The Free World,,,,,,,,,,,,,,,,
The New Pornographers,Challengers,,,,,,,,,,,,,,,,
Kanye West,We Don'T Care,,,,,,,,,,,,,,,,
Rage Against The Machine,Settle For Nothing,,,,,,,,,,,,,,,,
Jet,Move On,,,,,,,,,,,,,,,,
Bob Dylan,Idiot Wind,,,,,,,,,,,,,,,,
Within Temptation,All I Need,,,,,,,,,,,,,,,,
Kate Bush,The Dreaming,,,,,,,,,,,,,,,,
Architecture In Helsinki,Need To Shout,,,,,,,,,,,,,,,,
The Dresden Dolls,Mandy Goes To Med School,,,,,,,,,,,,,,,,
Britney Spears,Lonely,,,,,,,,,,,,,,,,
Rage Against The Machine,Township Rebellion,,,,,,,,,,,,,,,,
Aphex Twin,I,,,,,,,,,,,,,,,,
David Bowie,Speed Of Life,,,,,,,,,,,,,,,,
Radiohead,Lurgee,,,,,,,,,,,,,,,,
Islands,Jogging Gorgeous Summer,,,,,,,,,,,,,,,,
Patti Smith,Because The Night,,,,,,,,,,,,,,,,
In Flames,Satellites And Astronauts,,,,,,,,,,,,,,,,
Death Cab For Cutie,For What Reason,,,,,,,,,,,,,,,,
Beirut,After The Curtain,,,,,,,,,,,,,,,,
Cat Power,Shaking Paper,,,,,,,,,,,,,,,,
My Brightest Diamond,Something Of An End,,,,,,,,,,,,,,,,
Lady Gaga,I Like It Rough,,,,,,,,,,,,,,,,
Björk,Human Behavior,,,,,,,,,,,,,,,,
Grandaddy,Underneath The Weeping Willow,,,,,,,,,,,,,,,,
Amorphis,Towards And Against,,,,,,,,,,,,,,,,
Deepest Blue,Deepest Blue,,,,,,,,,,,,,,,,
Tegan And Sara,Dark Come Soon,,,,,,,,,,,,,,,,
Marilyn Manson,Coma White,,,,,,,,,,,,,,,,
Secret Machines,The Leaves Are Gone,,,,,,,,,,,,,,,,
Sugababes,About You Now,,,,,,,,,,,,,,,,
Amorphis,Empty Opening,,,,,,,,,,,,,,,,
Blur,For Tomorrow,,,,,,,,,,,,,,,,
Brand New,Guernica,,,,,,,,,,,,,,,,
Chemistry,We Are One,,,,,,,,,,,,,,,,
Band Of Horses,Window Blues,,,,,,,,,,,,,,,,
Queen,Friends Will Be Friends,,,,,,,,,,,,,,,,
Tegan And Sara,Floorplan,,,,,,,,,,,,,,,,
Foo Fighters,Breakout,,,,,,,,,,,,,,,,
The Kooks,Got No Love,,,,,,,,,,,,,,,,
Tokyo Police Club,Be Good,,,,,,,,,,,,,,,,
The New Pornographers,The Electric Version,,,,,,,,,,,,,,,,
The Beach Boys,You Still Believe In Me,,,,,,,,,,,,,,,,
The Organ,Brother,,,,,,,,,,,,,,,,
The Album Leaf,On Your Way,,,,,,,,,,,,,,,,
Shiny Toy Guns,When They Came For Us,,,,,,,,,,,,,,,,
Klaxons,Gravity'S Rainbow (Van She Remix),,,,,,,,,,,,,,,,
Norah Jones,Shoot The Moon,,,,,,,,,,,,,,,,
Aphex Twin,Tha,,,,,,,,,,,,,,,,
Wilco,Misunderstood,,,,,,,,,,,,,,,,
Mando Diao,Paralyzed,,,,,,,,,,,,,,,,
Him,Pretending,,,,,,,,,,,,,,,,
Elliott Smith,Can'T Make A Sound,,,,,,,,,,,,,,,,
T.I.,Live Your Life (Feat. Rihanna),,,,,,,,,,,,,,,,
Incubus,The Warmth,,,,,,,,,,,,,,,,
Sentenced,Cross My Heart And Hope To Die,,,,,,,,,,,,,,,,
The White Stripes,White Moon,,,,,,,,,,,,,,,,
Children Of Bodom,Angels Don'T Kill,,,,,,,,,,,,,,,,
David Bowie,Kooks,,,,,,,,,,,,,,,,
Goldfrapp,Caravan Girl,,,,,,,,,,,,,,,,
Architecture In Helsinki,Underwater,,,,,,,,,,,,,,,,
Ladytron,Mu-Tron,,,,,,,,,,,,,,,,
Disturbed,Sons Of Plunder,,,,,,,,,,,,,,,,
Frou Frou,The Dumbing Down Of Love,,,,,,,,,,,,,,,,
The Feeling,Love It When You Call,,,,,,,,,,,,,,,,
P!Nk,Family Portrait,,,,,,,,,,,,,,,,
The 69 Eyes,Gothic Girl,,,,,,,,,,,,,,,,
Misfits,Angelfuck,,,,,,,,,,,,,,,,
Staind,It'S Been Awhile,,,,,,,,,,,,,,,,
Amy Winehouse,Take The Box,,,,,,,,,,,,,,,,
Kings Of Convenience,The Girl From Back Then,,,,,,,,,,,,,,,,
System Of A Down,Attack,,,,,,,,,,,,,,,,
Radiohead,The Gloaming. (Softly Open Our Mouths In The Cold.),,,,,,,,,,,,,,,,
Björk,Cover Me,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0
Pj Harvey,Shame,,,,,,,,,,,,,,,,
Goose,British Mode,,,,,,,,,,,,,,,,
Tom Petty And The Heartbreakers,Mary Jane'S Last Dance,,,,,,,,,,,,,,,,
Art Of Noise,Close (To The Edit),,,,,,,,,,,,,,,,
Funeral For A Friend,History,,,,,,,,,,,,,,,,
Pj Harvey,Kamikaze,,,,,,,,,,,,,,,,
David Bowie,Time,,,,,,,,,,,,,,,,
Maxïmo Park,Now I'M All Over The Shop,,,,,,,,,,,,,,,,
Frou Frou,Flicks,,,,,,,,,,,,,,,,
Akira Yamaoka,Theme Of Laura (Reprise),,,,,,,,,,,,,,,,
Bauhaus,In The Flat Field,,,,,,,,,,,,,,,,
Rob Zombie,Living Dead Girl,,,,,,,,,,,,,,,,
Nouvelle Vague,Heart Of Glass,,,,,,,,,,,,,,,,
Manic Street Preachers,You Stole The Sun From My Heart,,,,,,,,,,,,,,,,
The Chemical Brothers,The Test,,,,,,,,,,,,,,,,
Jens Lekman,Shirin,,,,,,,,,,,,,,,,
The Academy Is...,Black Mamba,,,,,,,,,,,,,,,,
Rachael Yamagata,Be Be Your Love,,,,,,,,,,,,,,,,
The Smashing Pumpkins,Tonight Tonight,,,,,,,,,,,,,,,,
The Fratellis,Cuntry Boys & City Girls,,,,,,,,,,,,,,,,
Kiss,Deuce,,,,,,,,,,,,,,,,
The Cranberries,Just My Imagination,,,,,,,,,,,,,,,,
Emily Haines & The Soft Skeleton,Nothing & Nowhere,,,,,,,,,,,,,,,,
The Cure,Primary,,,,,,,,,,,,,,,,
Bright Eyes,Middleman,,,,,,,,,,,,,,,,
The Cranberries,Everything I Said,,,,,,,,,,,,,,,,
Afi,Miseria Cantare: The Beginning,,,,,,,,,,,,,,,,
Basement Jaxx,Take Me Back To Your House,,,,,,,,,,,,,,,,
Air,Lucky And Unhappy,,,,,,,,,,,,,,,,
Fever Ray,Dry And Dusty,,,,,,,,,,,,,,,,
Metallica,My Friend Of Misery,,,,,,,,,,,,,,,,
Röyksopp,Röyksopp Forever,,,,,,,,,,,,,,,,
Eddie Vedder,Setting Forth,,,,,,,,,,,,,,,,
Queens Of The Stone Age,You Would Know,,,,,,,,,,,,,,,,
Andrew Bird,Plasticities,,,,,,,,,,,,,,,,
Kiss,Shout It Out Loud,,,,,,,,,,,,,,,,
Ac/Dc,Have A Drink On Me,,,,,,,,,,,,,,,,
Judas Priest,Metal Gods,,,,,,,,,,,,,,,,
Faith No More,Evidence,,,,,,,,,,,,,,,,
Iron Maiden,For The Greater Good Of God,,,,,,,,,,,,,,,,
The Chemical Brothers,Chemical Beats,,,,,,,,,,,,,,,,
Final Fantasy,The Chronicles Of Sarnia,,,,,,,,,,,,,,,,
The Verve,Catching The Butterfly,,,,,,,,,,,,,,,,
Scissor Sisters,Lovers In The Backseat,,,,,,,,,,,,,,,,
Animal Collective,No More Runnin,,,,,,,,,,,,,,,,
Nick Drake,Harvest Breed,,,,,,,,,,,,,,,,
The Strokes,Red Light,,,,,,,,,,,,,,,,
Outkast,Ms. Jackson,,,,,,,,,,,,,,,,
Bright Eyes,Classic Cars,,,,,,,,,,,,,,,,
Radiohead,Creep (Acoustic),,,,,,,,,,,,,,,,
Apparat,Fractales Part 1,,,,,,,,,,,,,,,,
Marillion,Kayleigh,,,,,,,,,,,,,,,,
Kings Of Leon,Genius,,,,,,,,,,,,,,,,
The White Stripes,A Martyr For My Love For You,,,,,,,,,,,,,,,,
Babyshambles,Albion,,,,,,,,,,,,,,,,
Porcupine Tree,How Is Your Life Today?,,,,,,,,,,,,,,,,
Editors,When Anger Shows,,,,,,,,,,,,,,,,
Christian Death,Romeo'S Distress,,,,,,,,,,,,,,,,
Abba,Fernando,,,,,,,,,,,,,,,,
Green Day,Welcome To Paradise,,,,,,,,,,,,,,,,
Morcheeba,Otherwise,,,,,,,,,,,,,,,,
The Used,Take It Away,,,,,,,,,,,,,,,,
Rilo Kiley,Ripchord,,,,,,,,,,,,,,,,
Razorlight,Stumble And Fall,,,,,,,,,,,,,,,,
Fiona Apple,Tymps (The Sick In The Head Song),,,,,,,,,,,,,,,,
Sun Kil Moon,Carry Me Ohio,,,,,,,,,,,,,,,,
Dimmu Borgir,The Serpentine Offering,,,,,,,,,,,,,,,,
Rilo Kiley,My Slumbering Heart,,,,,,,,,,,,,,,,
U2,Miracle Drug,,,,,,,,,,,,,,,,
Ted Leo And The Pharmacists,Me And Mia,,,,,,,,,,,,,,,,
Kaiser Chiefs,I Can Do It Without You,,,,,,,,,,,,,,,,
Placebo,I Do,,,,,,,,,,,,,,,,
Iron & Wine,Promise What You Will,,,,,,,,,,,,,,,,
Broken Social Scene,Feel Good Lost,,,,,,,,,,,,,,,,
Alanis Morissette,Crazy,,,,,,,,,,,,,,,,
Weezer,Photograph,,,,,,,,,,,,,,,,
The Cranberries,Salvation,,,,,,,,,,,,,,,,
Pink Floyd,Interstellar Overdrive,,,,,,,,,,,,,,,,
The Magic Numbers,Which Way To Happy,,,,,,,,,,,,,,,,
Wham!,Last Christmas,,,,,,,,,,,,,,,,
Fugees,Ready Or Not,,,,,,,,,,,,,,,,
Télépopmusik,Love Can Damage Your Health,,,,,,,,,,,,,,,,
Pink Floyd,Shine On You Crazy Diamond (Parts I-V),,,,,,,,,,,,,,,,
Explosions In The Sky,Catastrophe And The Cure,,,,,,,,,,,,,,,,
Explosions In The Sky,Yasmin The Light,,,,,,,,,,,,,,,,
Primal Scream,Loaded,,,,,,,,,,,,,,,,
Lamb,Angelica,,,,,,,,,,,,,,,,
Fischerspooner,All We Are,,,,,,,,,,,,,,,,
Covenant,Bullet,,,,,,,,,,,,,,,,
The Specials,A Message To You Rudy,,,,,,,,,,,,,,,,
