artist_name,track_name,Drum Set,Drum Aggressiveness,Synthetic Drums,Percussion,Electric Guitar,Electric Guitar Distortion,Acoustic Guitar,String Ensemble,Horn Ensemble,Piano,Organ,Rhodes,Synthesizer,Synth Timbre,Bass Guitar,Reed Instrument
Lali Puna,Harrison Reverse,,,,,,,,,,,,,,,,
Ania Dąbrowska,Nie Mogę Cię Zapomnieć,,,,,,,,,,,,,,,,
Michael Jackson,Dangerous,,,,,,,,,,,,,,,,
Michael Jackson,Keep The Faith,,,,,,,,,,,,,,,,
Peter Bjorn And John,Start Making Sense,,,,,,,,,,,,,,,,
Michael Jackson,Come Together,,,,,,,,,,,,,,,,
Chris Vrenna,Village Of The Doomed,,,,,,,,,,,,,,,,
Faithless,Baseball Cap,,,,,,,,,,,,,,,,
Chrisette Michele,Good Girl,,,,,,,,,,,,,,,,
Robbie Williams,Me And My Monkey,,,,,,,,,,,,,,,,
Darkthrone,The Pagan Winter,,,,,,,,,,,,,,,,
Of Montreal,Jacques Lamure,,,,,,,,,,,,,,,,
Peter Doherty,A Little Death Around The Eyes,,,,,,,,,,,,,,,,
Peter Luts & Dominico,What A Feeling (Radio Edit),,,,,,,,,,,,,,,,
Kotiteollisuus,Pohjanmaan Kautta,,,,,,,,,,,,,,,,
Darkthrone,To Walk The Infernal Fields,,,,,,,,,,,,,,,,
Kraftwerk,Prologue,,,,,,,,,,,,,,,,
St. Vincent,We Put A Pearl In The Ground,,,,,,,,,,,,,,,,
Darkthrone,The Dance Of Eternal Shadows,,,,,,,,,,,,,,,,
A Tribe Called Quest,Verses From The Abstract,,,,,,,,,,,,,,,,
Kreator,Storm Of The Beast,,,,,,,,,,,,,,,,
Boy Kill Boy,Ivy Parker,,,,,,,,,,,,,,,,
Kreator,Endless Pain,,,,,,,,,,,,,,,,
A Tribe Called Quest,Jazz (We'Ve Got),,,,,,,,,,,,,,,,
A Tribe Called Quest,Description Of A Fool,,,,,,,,,,,,,,,,
Boy Kill Boy,Killer,,,,,,,,,,,,,,,,
The Coffinshakers,Pale Man In Black,0.8,0.6,0.0,0.4,1.0,0.8,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.8,0.0
Ghostface Killah,Wildflower,,,,,,,,,,,,,,,,
The Clash,The Prisoner,,,,,,,,,,,,,,,,
Miss Kittin,3Eme Sexe,,,,,,,,,,,,,,,,
Noisettes,The Count Of Monte Christo,0.8,0.6,0.0,0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
Jet,Lazy Gun,1.0,0.8,0.0,0.4,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
Hollywood Undead,No. 5,,,,,,,,,,,,,,,,
Pierrot,Neo Grotesque,,,,,,,,,,,,,,,,
Bad Religion,Walk Away,,,,,,,,,,,,,,,,
Why?,The Hoofs,,,,,,,,,,,,,,,,
Black Light Burns,4 Walls,,,,,,,,,,,,,,,,
Skinny Puppy,Empte,,,,,,,,,,,,,,,,
Xtc,King For A Day,,,,,,,,,,,,,,,,
Jay-Z,Jigga That Nigga,,,,,,,,,,,,,,,,
Emma Bunton,Free Me (Dr. Octavo Seduction Remix),,,,,,,,,,,,,,,,
Hot Snakes,Hi-Lites,,,,,,,,,,,,,,,,
Garden Of Eden,Vampires Of Eden,,,,,,,,,,,,,,,,
Of Montreal,I Can'T Stop Your Memory,,,,,,,,,,,,,,,,
Descendents,Cameage,,,,,,,,,,,,,,,,
Of Montreal,Sleeping In The Beetle Bug,,,,,,,,,,,,,,,,
Vetiver,Without A Song,,,,,,,,,,,,,,,,
Rob Zombie,Sawdust In The Blood,,,,,,,,,,,,,,,,
The Chemical Brothers,Believe (Feat Kele Okereke),,,,,,,,,,,,,,,,
Robbie Williams,Lazy Days,,,,,,,,,,,,,,,,
Carla Bruni,Le Ciel Dans Une Chambre,,,,,,,,,,,,,,,,
Michael Jackson,The Lady In My Life,,,,,,,,,,,,,,,,
Michael Nyman,A Wild And Distant Shore,,,,,,,,,,,,,,,,
A Fine Frenzy,Ashes And Wine,,,,,,,,,,,,,,,,
Jet,Rollover Dj,,,,,,,,,,,,,,,,
Atlas Sound,A Ghost Story,,,,,,,,,,,,,,,,
Tiësto,Magik Journey,,,,,,,,,,,,,,,,
Atjazz,Touch The Sun,,,,,,,,,,,,,,,,
Ghostland Observatory,Sad Sad City,,,,,,,,,,,,,,,,
Viikate,Padat,,,,,,,,,,,,,,,,
Atlas Sound,Ativan,,,,,,,,,,,,,,,,
Misfits,Dead Kings Rise (Demo),,,,,,,,,,,,,,,,
Counting Crows,Angels Of The Silences,,,,,,,,,,,,,,,,
Beastie Boys,Posse In Effect,,,,,,,,,,,,,,,,
The Chemical Brothers,The Pills Won'T Help You Now (Feat. Midlake),,,,,,,,,,,,,,,,
Misfits,Fiend Club,,,,,,,,,,,,,,,,
Norther,Drowning,,,,,,,,,,,,,,,,
Bonnie 'Prince' Billy,Song For The New Breed,,,,,,,,,,,,,,,,
Rob Zombie,Death Of It All,,,,,,,,,,,,,,,,
Rob Thomas,I Am An Illusion,,,,,,,,,,,,,,,,
Midlake,Kingfish Pies,,,,,,,,,,,,,,,,
Rjd2,Someday,,,,,,,,,,,,,,,,
Oceansize,I Am The Morning,,,,,,,,,,,,,,,,
Oceanlab,Beautiful Together (Signum Remix),,,,,,,,,,,,,,,,
Skold,Neverland,,,,,,,,,,,,,,,,
Hoobastank,Without A Fight,,,,,,,,,,,,,,,,
Christina Aguilera,Save Me From Myself,,,,,,,,,,,,,,,,
Christina Aguilera,Hurt (Deeper-Mindset Mixshow),,,,,,,,,,,,,,,,
Norah Jones,Toes,,,,,,,,,,,,,,,,
Hoobastank,Finally Awake,,,,,,,,,,,,,,,,
Jesu,Transfigure,,,,,,,,,,,,,,,,
The Lawrence Arms,Beyond The Embarrassing Style,,,,,,,,,,,,,,,,
Christina Aguilera,Still Dirrty,,,,,,,,,,,,,,,,
Ben Moody Feat. Anastacia,Everything Burns,,,,,,,,,,,,,,,,
The Fiery Furnaces,Tropical Iceland,,,,,,,,,,,,,,,,
U2,Drowning Man,,,,,,,,,,,,,,,,
Kristine W,Stronger (Junior Vasquez Radio),,,,,,,,,,,,,,,,
Nouvelle Vague,Just Can'T Get Enough (Depeche Mode),,,,,,,,,,,,,,,,
Miranda!,Prisionero,,,,,,,,,,,,,,,,
Minutemen,D'S Car Jam / Anxious Mo-Fo,,,,,,,,,,,,,,,,
Miho Hatori,Barracuda,,,,,,,,,,,,,,,,
Electric Light Orchestra,Love Is Like Oxygen,,,,,,,,,,,,,,,,
Snow Patrol,Chasing Cars (Edit),,,,,,,,,,,,,,,,
Mike Doughty,Looking At The World From The Bottom Of A Well,,,,,,,,,,,,,,,,
Death,Zombie Ritual,,,,,,,,,,,,,,,,
Gary Numan,We Are Glass,,,,,,,,,,,,,,,,
Cradle Of Filth,The Forest Whispers My Name,,,,,,,,,,,,,,,,
Static-X,Push It,,,,,,,,,,,,,,,,
Dark Tranquillity,Cathode Ray Sunshine,,,,,,,,,,,,,,,,
Bonnie Raitt,I Sho Do,,,,,,,,,,,,,,,,
A Fine Frenzy,The Minnow & The Trout,,,,,,,,,,,,,,,,
Starsailor,Talk Her Down,,,,,,,,,,,,,,,,
Static-X,The Only,,,,,,,,,,,,,,,,
Cradle Of Filth,Gabrielle,,,,,,,,,,,,,,,,
Minor Threat,Cashing In,,,,,,,,,,,,,,,,
The Rosebuds,My Punishment For Fighting,,,,,,,,,,,,,,,,
Stabbing Westward,Goodbye,,,,,,,,,,,,,,,,
Tindersticks,Tiny Tears,0.6,0.2,0.0,0.6,0.6,0.2,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0
Philip Glass,Dead Things,,,,,,,,,,,,,,,,
Philip Glass,I'M Going To Make A Cake,,,,,,,,,,,,,,,,
Dope Stars Inc.,Multiplatform Paradise,,,,,,,,,,,,,,,,
Atmosphere,A Song About A Friend,,,,,,,,,,,,,,,,
Dope Stars Inc.,Self Destructive Corp.,,,,,,,,,,,,,,,,
Ayreon,Day Twelve: Trauma,,,,,,,,,,,,,,,,
Rick Astley,Together Forever,0.6,0.4,0.8,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.6,0.0
Hooverphonic,This Strange Effect,,,,,,,,,,,,,,,,
Christina Aguilera,Cruz,,,,,,,,,,,,,,,,
Captain Sensible,Wot,,,,,,,,,,,,,,,,
The Lawrence Arms,Recovering The Opposable Thumb,,,,,,,,,,,,,,,,
The Walkmen,On The Water,,,,,,,,,,,,,,,,
L'Âme Immortelle,Will You?,,,,,,,,,,,,,,,,
Static-X,I Am,,,,,,,,,,,,,,,,
Faith No More,I'M Easy,,,,,,,,,,,,,,,,
Bear Vs. Shark,Bloodgiver,,,,,,,,,,,,,,,,
Faith No More,Just A Man,,,,,,,,,,,,,,,,
Milburn,Lipstick Lickin',,,,,,,,,,,,,,,,
Hot Club De Paris,Clockwork Toy,,,,,,,,,,,,,,,,
Bear Vs. Shark,Out Loud Hey Hey,,,,,,,,,,,,,,,,
Severed Heads,Dead Eyes Opened (Extended Mix),,,,,,,,,,,,,,,,
Bono,Lucy In The Sky With Diamonds,,,,,,,,,,,,,,,,
Black Rebel Motorcycle Club,Down Here,,,,,,,,,,,,,,,,
Thievery Corporation,Shaolin Satellite,0.6,0.2,0.8,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.8,0.4,0.6,0.0
Carcass,Firm Hand,,,,,,,,,,,,,,,,
Howard Shore,Flight To The Ford,,,,,,,,,,,,,,,,
Nouvelle Vague,Dancing With Myself (Billy Idol),,,,,,,,,,,,,,,,
Jens Lekman,The Wrong Hands,,,,,,,,,,,,,,,,
Jenny Owen Youngs,From Here,,,,,,,,,,,,,,,,
Carcass,Childs Play,,,,,,,,,,,,,,,,
Jenny Lewis,See Fernando,,,,,,,,,,,,,,,,
Shakira,Fool,,,,,,,,,,,,,,,,
Atmosphere,The Keys To Life Vs. 15 Minutes Of Fame,,,,,,,,,,,,,,,,
Shakin' Stevens,Merry Christmas Everyone,,,,,,,,,,,,,,,,
Minor Threat,No Reason,,,,,,,,,,,,,,,,
The Rosebuds,Warm Where You Lay,,,,,,,,,,,,,,,,
A Perfect Circle,The Hollow (Take 2),,,,,,,,,,,,,,,,
Kudai,Déjame Gritar,0.8,0.6,0.4,0.4,0.8,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,0.0
The Apples In Stereo,Mellotron 1,,,,,,,,,,,,,,,,
Rihanna,Good Girl Gone Bad,,,,,,,,,,,,,,,,
Booka Shade,Hallelujah Usa,,,,,,,,,,,,,,,,
Bonobo,Super 8,,,,,,,,,,,,,,,,
Genesis,Keep It Dark,,,,,,,,,,,,,,,,
Kult,Dziewczyna Bez Zęba Na Przedzie,,,,,,,,,,,,,,,,
Kult,Grzesznik,,,,,,,,,,,,,,,,
Rie Fu,Life Is Like A Boat,,,,,,,,,,,,,,,,
Rihanna,Kisses Don'T Lie,,,,,,,,,,,,,,,,
David Guetta,Love Is Gone (Fred Rister & Joachim Garraud Remix),,,,,,,,,,,,,,,,
Kult,Arahja,,,,,,,,,,,,,,,,
Atmosphere,Cats Van Bags,,,,,,,,,,,,,,,,
Donna Summer,Stamp Your Feet (Jason Nevins Radio Edit),,,,,,,,,,,,,,,,
The Clash,1977,,,,,,,,,,,,,,,,
Rilo Kiley,Glendora,,,,,,,,,,,,,,,,
Atmosphere,Me,,,,,,,,,,,,,,,,
Kult,Gdy Nie Ma Dzieci,,,,,,,,,,,,,,,,
Booka Shade,The Birds And The Beats / At The Window,,,,,,,,,,,,,,,,
Skinny Puppy,Shore Lined Poison,,,,,,,,,,,,,,,,
Big Face,I Wanna Be A Style Crusader (Data Remix),,,,,,,,,,,,,,,,
Caribou,Desiree,,,,,,,,,,,,,,,,
David Guetta,Do Something Love,,,,,,,,,,,,,,,,
Oasis,Be Here Now,,,,,,,,,,,,,,,,
The Last Shadow Puppets,The Time Has Come Again,,,,,,,,,,,,,,,,
Philip Glass,The Kiss,,,,,,,,,,,,,,,,
Novika,California Dreaming,,,,,,,,,,,,,,,,
The Last Shadow Puppets,Meeting Place,,,,,,,,,,,,,,,,
David Gray,Hospital Food,,,,,,,,,,,,,,,,
Yann Tiersen,Kala,,,,,,,,,,,,,,,,
Rise Against,The First Drop,,,,,,,,,,,,,,,,
The Cinematic Orchestra,Theme De Yoyo,,,,,,,,,,,,,,,,
The La'S,Liberty Ship,,,,,,,,,,,,,,,,
Jefferson Airplane,She Has Funny Cars,,,,,,,,,,,,,,,,
Nuspirit Helsinki,String Interlude,,,,,,,,,,,,,,,,
Bonobo,Days To Come,,,,,,,,,,,,,,,,
Akira,Piece Of Heaven (Alex K Remix),,,,,,,,,,,,,,,,
The Cinematic Orchestra,Oregon,,,,,,,,,,,,,,,,
Rise Against,Blood To Bleed,,,,,,,,,,,,,,,,
Bonobo,Between The Lines,,,,,,,,,,,,,,,,
Sunn O))),It Took The Night To Believe,,,,,,,,,,,,,,,,
Telefon Tel Aviv,At The Edge Of The World You Will Still Float,,,,,,,,,,,,,,,,
Alexisonfire,Polaroids Of Polar Bears,,,,,,,,,,,,,,,,
Barenaked Ladies,What A Good Boy,,,,,,,,,,,,,,,,
Madeleine Peyroux,Lonesome Road,,,,,,,,,,,,,,,,
The Beatles,Mean Mr Mustard,,,,,,,,,,,,,,,,
Blink-182,Violence,,,,,,,,,,,,,,,,
Teitur,Sleeping With The Lights On,,,,,,,,,,,,,,,,
Madness,The Prince,1.0,0.6,0.0,0.2,0.6,0.4,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0
黒夢,Nite&Day-New Take-,,,,,,,,,,,,,,,,
