artist_name,track_name,Drum Set,Drum Aggressiveness,Synthetic Drums,Percussion,Electric Guitar,Electric Guitar Distortion,Acoustic Guitar,String Ensemble,Horn Ensemble,Piano,Organ,Rhodes,Synthesizer,Synth Timbre,Bass Guitar,Reed Instrument
Matchbox Twenty,Soul,,,,,,,,,,,,,,,,
Guns N' Roses,Don'T Damn Me,,,,,,,,,,,,,,,,
Martha Wainwright,When The Day Is Short,,,,,,,,,,,,,,,,
Sons And Daughters,Rama Lama,,,,,,,,,,,,,,,,
Eluvium,Nepenthe,,,,,,,,,,,,,,,,
Guns N' Roses,Madagascar,,,,,,,,,,,,,,,,
John Foxx,Underpass,,,,,,,,,,,,,,,,
Sons And Daughters,Choked,,,,,,,,,,,,,,,,
Sons And Daughters,Darling,,,,,,,,,,,,,,,,
Mötley Crüe,Red Hot,,,,,,,,,,,,,,,,
Kamelot,The Human Stain,,,,,,,,,,,,,,,,
The Pains Of Being Pure At Heart,Hey Paul,,,,,,,,,,,,,,,,
Ramones,Carbona Not Glue,,,,,,,,,,,,,,,,
The Long Blondes,Too Clever By Half,,,,,,,,,,,,,,,,
David Bowie,Lady Grinning Soul,,,,,,,,,,,,,,,,
Biffy Clyro,Saturday Superhouse,,,,,,,,,,,,,,,,
Kate Bush,Mrs. Bartolozzi,,,,,,,,,,,,,,,,
The Blood Brothers,You'Re The Dream Unicorn!,,,,,,,,,,,,,,,,
Machinae Supremacy,Soundtrack To The Rebellion,,,,,,,,,,,,,,,,
Third Eye Blind,Thanks A Lot,,,,,,,,,,,,,,,,
The Hives,Giddy Up!,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
Machinae Supremacy,Super Steve,,,,,,,,,,,,,,,,
Kate Bush,James And The Cold Gun,,,,,,,,,,,,,,,,
Atb,Beautiful Worlds,,,,,,,,,,,,,,,,
Mötley Crüe,Take Me To The Top,,,,,,,,,,,,,,,,
M.I.A.,Freedom Skit,,,,,,,,,,,,,,,,
Kate Bush,Houdini,,,,,,,,,,,,,,,,
The Blood Brothers,Every Breath Is A Bomb,,,,,,,,,,,,,,,,
Buena Vista Social Club,Veinte Años,,,,,,,,,,,,,,,,
Kate Bush,And Dream Of Sheep,,,,,,,,,,,,,,,,
Dimmu Borgir,Blessings Upon The Throne Of Tyranny,,,,,,,,,,,,,,,,
Suicide,Ghost Rider,,,,,,,,,,,,,,,,
Autechre,Slip,,,,,,,,,,,,,,,,
Machinae Supremacy,Fury,,,,,,,,,,,,,,,,
Dinosaur Jr.,Almost Ready,,,,,,,,,,,,,,,,
Machinae Supremacy,Insidious,,,,,,,,,,,,,,,,
Sun Kil Moon,Dramamine,,,,,,,,,,,,,,,,
Bronski Beat,Smalltown Boy,,,,,,,,,,,,,,,,
Lacuna Coil,Within Me,,,,,,,,,,,,,,,,
Radiohead,I Will (Los Angeles Version),,,,,,,,,,,,,,,,
タニウチヒデキ,Kuroi Light,,,,,,,,,,,,,,,,
Brenda Lee,Rockin' Around The Christmas Tree,,,,,,,,,,,,,,,,
Sofa Surfers,Sofa Rockers (Richard Dorfmeister Remix),,,,,,,,,,,,,,,,
Ash,Orpheus,,,,,,,,,,,,,,,,
Norah Jones,One Flight Down,,,,,,,,,,,,,,,,
Insomnium,Drawn To Black,,,,,,,,,,,,,,,,
Sufjan Stevens,You Are The Rake,,,,,,,,,,,,,,,,
Jet,Radio Song,,,,,,,,,,,,,,,,
Babyshambles,Love You But You'Re Green,,,,,,,,,,,,,,,,
Jill Scott,Crown Royal,,,,,,,,,,,,,,,,
Fatboy Slim,Right Here Right Now,,,,,,,,,,,,,,,,
Seether,Broken (Feat. Amy Lee),,,,,,,,,,,,,,,,
Seeed,Release,,,,,,,,,,,,,,,,
Seeed,Pressure,,,,,,,,,,,,,,,,
Le Tigre,New Kicks,,,,,,,,,,,,,,,,
The Notwist,Boneless,,,,,,,,,,,,,,,,
Leaves' Eyes,Tale Of The Sea Maid,,,,,,,,,,,,,,,,
1000 Homo Djs,Apathy,,,,,,,,,,,,,,,,
Buena Vista Social Club,¿Y Tú Qué Has Hecho?,,,,,,,,,,,,,,,,
The Blood Brothers,Cecilia And The Silhouette Saloon,,,,,,,,,,,,,,,,
The Notwist,Solitaire,,,,,,,,,,,,,,,,
Sage Francis,The Buzz Kill,,,,,,,,,,,,,,,,
Kate Bush,Oh To Be In Love,,,,,,,,,,,,,,,,
Olspur,Remembering Chernobyl,,,,,,,,,,,,,,,,
Simon & Garfunkel,Bookends Theme,,,,,,,,,,,,,,,,
A Fine Frenzy,Lifesize,,,,,,,,,,,,,,,,
Poisonblack,Never Enough,,,,,,,,,,,,,,,,
The Cure,Untitled,,,,,,,,,,,,,,,,
The Beach Boys,Surfin' Safari,,,,,,,,,,,,,,,,
Rae & Christian,A Distant Invitation,,,,,,,,,,,,,,,,
Poisonblack,The Glow Of The Flames,,,,,,,,,,,,,,,,
Justin Timberlake,Damn Girl,,,,,,,,,,,,,,,,
Against Me!,Mutiny On The Electronic Bay,,,,,,,,,,,,,,,,
John Mayer,I'M Gonna Find Another You,,,,,,,,,,,,,,,,
Efterklang,Collecting Shields,,,,,,,,,,,,,,,,
Wolf Parade,Disco Sheets,,,,,,,,,,,,,,,,
Franco Battiato,La Cura,,,,,,,,,,,,,,,,
Ray Lamontagne,Three More Days,,,,,,,,,,,,,,,,
Infadels,Love Like Semtex,,,,,,,,,,,,,,,,
Underoath,In Regards To Myself,,,,,,,,,,,,,,,,
Sally Shapiro,He Keeps Me Alive,,,,,,,,,,,,,,,,
Iron Maiden,Sign Of The Cross,,,,,,,,,,,,,,,,
White Rose Movement,Speed,,,,,,,,,,,,,,,,
The Jesus And Mary Chain,Her Way Of Praying,,,,,,,,,,,,,,,,
The Cribs,I'Ve Tried Everything,,,,,,,,,,,,,,,,
The Cribs,I'M Alright Me,1.0,0.8,0.0,0.2,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
Conor Oberst,Moab,,,,,,,,,,,,,,,,
Bob Dylan,Bob Dylan'S Dream,,,,,,,,,,,,,,,,
Hilary Duff,Play With Fire,,,,,,,,,,,,,,,,
Simple Plan,Crazy,,,,,,,,,,,,,,,,
The Hives,Find Another Girl,,,,,,,,,,,,,,,,
Lifehouse,Simon,,,,,,,,,,,,,,,,
Soda Stereo,Corazón Delator,,,,,,,,,,,,,,,,
Mika,Relax Take It Easy,,,,,,,,,,,,,,,,
Snowden,Anti-Anti,,,,,,,,,,,,,,,,
Fergie,Voodoo Doll,,,,,,,,,,,,,,,,
Fatboy Slim,Gangster Tripping,1.0,0.8,1.0,0.8,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.0
Norah Jones,Carnival Town,,,,,,,,,,,,,,,,
Pantera,25 Years,,,,,,,,,,,,,,,,
Sentenced,Home In Despair,,,,,,,,,,,,,,,,
Yo La Tengo,The Weakest Part,,,,,,,,,,,,,,,,
Yo La Tengo,Tom Courtenay,,,,,,,,,,,,,,,,
Eels,Son Of A Bitch,,,,,,,,,,,,,,,,
Rjd2,Shot In The Dark,,,,,,,,,,,,,,,,
The Chemical Brothers,Three Little Birdies Down Beats,,,,,,,,,,,,,,,,
Eels,The Sound Of Fear,,,,,,,,,,,,,,,,
Conor Oberst,Eagle On A Pole,,,,,,,,,,,,,,,,
Arcturus,Kinetic,,,,,,,,,,,,,,,,
Sambassadeur,Between The Lines,,,,,,,,,,,,,,,,
Queensrÿche,The Mission,,,,,,,,,,,,,,,,
The Maccabees,X-Ray,,,,,,,,,,,,,,,,
The Divine Comedy,Generation Sex,,,,,,,,,,,,,,,,
Enya,Long Long Journey,,,,,,,,,,,,,,,,
Bent,Swollen,,,,,,,,,,,,,,,,
Bebel Gilberto,Bananeira,,,,,,,,,,,,,,,,
Queensrÿche,I Remember Now,0.6,0.4,0.0,0.2,0.6,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.6,0.0
Godsmack,Re-Align,,,,,,,,,,,,,,,,
The Jesus And Mary Chain,Reverence,,,,,,,,,,,,,,,,
Suede,Saturday Night,,,,,,,,,,,,,,,,
British Sea Power,Fear Of Drowning,,,,,,,,,,,,,,,,
Green Carnation,The Burden Is Mine... Alone,,,,,,,,,,,,,,,,
Between The Buried And Me,Autodidact,,,,,,,,,,,,,,,,
Moonspell,Scorpion Flower,,,,,,,,,,,,,,,,
Apocalyptica,Distraction,,,,,,,,,,,,,,,,
Howie Day,End Of Our Days,,,,,,,,,,,,,,,,
Miles Davis,Moon Dreams,,,,,,,,,,,,,,,,
Apocalyptica,Prologue (Apprehension),0.6,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helios,First Dream Called Ocean,,,,,,,,,,,,,,,,
Gang Starr,The Militia,,,,,,,,,,,,,,,,
Green Day,Whatsername,,,,,,,,,,,,,,,,
Apocalyptica,Fisheye,,,,,,,,,,,,,,,,
Hello Saferide,Saturday Nights,,,,,,,,,,,,,,,,
The Cinematic Orchestra,Burn Out,,,,,,,,,,,,,,,,
Julieta Venegas,Me Voy,,,,,,,,,,,,,,,,
Los Bunkers,Ven Aquí,,,,,,,,,,,,,,,,
Los Hermanos,Último Romance,,,,,,,,,,,,,,,,
Killradio,Scavenger,,,,,,,,,,,,,,,,
Gang Of Four,He'D Send In The Army,,,,,,,,,,,,,,,,
Soilwork,Soilworker'S Song Of The Damned,,,,,,,,,,,,,,,,
Green Day,Burnout,,,,,,,,,,,,,,,,
Los Bunkers,Nada Nuevo Bajo El Sol,,,,,,,,,,,,,,,,
John Lennon,Instant Karma!,,,,,,,,,,,,,,,,
The Charlatans,North Country Boy,,,,,,,,,,,,,,,,
Guided By Voices,Awful Bliss,,,,,,,,,,,,,,,,
Ray Lamontagne,Barfly,,,,,,,,,,,,,,,,
Röyksopp,Go Away,,,,,,,,,,,,,,,,
Enya,China Roses,,,,,,,,,,,,,,,,
Aesthetic Perfection,Sacrifice,,,,,,,,,,,,,,,,
The Divine Comedy,A Lady Of A Certain Age,,,,,,,,,,,,,,,,
Another Sunny Day,I'M In Love With A Girl Who Doesn'T Know I Exist,,,,,,,,,,,,,,,,
Depeche Mode,I Sometimes Wish I Was Dead,,,,,,,,,,,,,,,,
Four Tet,High Fives,,,,,,,,,,,,,,,,
Turbonegro,Back To Dungaree High,,,,,,,,,,,,,,,,
Bloodbath,Mass Strangulation,,,,,,,,,,,,,,,,
Bloodbath,Cry My Name,,,,,,,,,,,,,,,,
Cypress Hill,I Wanna Get High,,,,,,,,,,,,,,,,
The Books,Tokyo,,,,,,,,,,,,,,,,
The Prodigy,Hotride,,,,,,,,,,,,,,,,
The Music,The People,1.0,0.8,0.0,0.4,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,0.0
Cat Power,Top Expert,,,,,,,,,,,,,,,,
Supergrass,Sun Hits The Sky,,,,,,,,,,,,,,,,
Sade,Please Send Me Someone To Love,,,,,,,,,,,,,,,,
Apocalyptica,Until It Sleeps,,,,,,,,,,,,,,,,
