artist_name,track_name,Drum Set,Drum Aggressiveness,Synthetic Drums,Percussion,Electric Guitar,Electric Guitar Distortion,Acoustic Guitar,String Ensemble,Horn Ensemble,Piano,Organ,Rhodes,Synthesizer,Synth Timbre,Bass Guitar,Reed Instrument
The Decemberists,Bridges And Balloons,,,,,,,,,,,,,,,,
Faith No More,Jizzlobber,,,,,,,,,,,,,,,,
Faith No More,Anne'S Song,,,,,,,,,,,,,,,,
The Dears,The Second Part,,,,,,,,,,,,,,,,
Q And Not U,Wonderful People,,,,,,,,,,,,,,,,
Joe Strummer,Love Kills,,,,,,,,,,,,,,,,
Swallow The Sun,Silence Of The Womb,,,,,,,,,,,,,,,,
Yes,Long Distance Runaround,,,,,,,,,,,,,,,,
Joe Strummer & The Mescaleros,Redemption Song,,,,,,,,,,,,,,,,
Pennywise,Perfect People,,,,,,,,,,,,,,,,
Q Project,Champion Sound (Bad Company Remix),0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0
Cold,She Said,,,,,,,,,,,,,,,,
Yes,Don'T Kill The Whale,,,,,,,,,,,,,,,,
Dapunksportif,Private Disco,,,,,,,,,,,,,,,,
Travis,Happy To Hang Around,,,,,,,,,,,,,,,,
Swan Lake,City Calls,,,,,,,,,,,,,,,,
Alice Russell,Hurry On Now,,,,,,,,,,,,,,,,
The Dears,No Cities Left,,,,,,,,,,,,,,,,
Cold,Bleed,,,,,,,,,,,,,,,,
Alice Russell,To Know This,,,,,,,,,,,,,,,,
Blink-182,Asthenia,,,,,,,,,,,,,,,,
Blonde Redhead,Violent Life,,,,,,,,,,,,,,,,
The Offspring,Smash,,,,,,,,,,,,,,,,
The Offspring,Stuff Is Messed Up,,,,,,,,,,,,,,,,
A Flock Of Seagulls,Modern Love Is Automatic,,,,,,,,,,,,,,,,
M. Ward,Get To The Table On Time,,,,,,,,,,,,,,,,
A Fine Frenzy,Borrowed Time,,,,,,,,,,,,,,,,
Megadeth,I Ain'T Superstitious,,,,,,,,,,,,,,,,
Say Hi To Your Mom,The Death Of Girl Number Two,,,,,,,,,,,,,,,,
Five For Fighting,Superman (It'S Not Easy),,,,,,,,,,,,,,,,
Asian Dub Foundation,Take Back The Power,,,,,,,,,,,,,,,,
Oceansize,Ornament/The Last Wrongs,,,,,,,,,,,,,,,,
Deltron 3030,St. Catherine St.,,,,,,,,,,,,,,,,
The Offspring,All Along,,,,,,,,,,,,,,,,
Two-Mix,Break,,,,,,,,,,,,,,,,
Devo,Satisfaction,,,,,,,,,,,,,,,,
Devin Townsend,Truth,,,,,,,,,,,,,,,,
T.M.Revolution,Hot Limit,,,,,,,,,,,,,,,,
Johan,She'S Got A Way With Men,,,,,,,,,,,,,,,,
Devo,Cold War,0.8,0.6,1.0,0.2,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.0
Coheed And Cambria,Hearshot Kid Disaster,,,,,,,,,,,,,,,,
The Decemberists,Shankhill Butchers,,,,,,,,,,,,,,,,
Behemoth,Mysterium Coniunctionis (Hermanubis),,,,,,,,,,,,,,,,
The Decemberists,Human Behaviour,,,,,,,,,,,,,,,,
The Number Twelve Looks Like You,Like A Cat,,,,,,,,,,,,,,,,
Marcy Playground,A Cloak Of Elvenkind,,,,,,,,,,,,,,,,
Håkan Hellström,Nu Kan Du Få Mig Så Lätt,,,,,,,,,,,,,,,,
Asian Dub Foundation,Rise To The Challenge,,,,,,,,,,,,,,,,
Bob Marley & The Wailers,Want More,,,,,,,,,,,,,,,,
Midnattsol,Unpayable Silence,,,,,,,,,,,,,,,,
