artist_name,track_name,Drum Set,Drum Aggressiveness,Synthetic Drums,Percussion,Electric Guitar,Electric Guitar Distortion,Acoustic Guitar,String Ensemble,Horn Ensemble,Piano,Organ,Rhodes,Synthesizer,Synth Timbre,Bass Guitar,Reed Instrument
Backyard Babies,The Ship,,,,,,,,,,,,,,,,
The Books And José González,Cello Song,,,,,,,,,,,,,,,,
Strike Anywhere,Gunpowder,,,,,,,,,,,,,,,,
Czesław Śpiewa,Efekt Uboczny Trzeźwości,,,,,,,,,,,,,,,,
Slayer,Desire,,,,,,,,,,,,,,,,
Cynic,Evolutionary Sleeper,,,,,,,,,,,,,,,,
Cypress Hill,When The Shit Goes Down,,,,,,,,,,,,,,,,
Strike Anywhere,Instinct,,,,,,,,,,,,,,,,
Slagsmålsklubben,Kom Igen Kommissarien,,,,,,,,,,,,,,,,
The Books,An Owl With Knees,,,,,,,,,,,,,,,,
Jack'S Mannequin,Into The Airwaves,,,,,,,,,,,,,,,,
Jack Johnson,Walk Alone,,,,,,,,,,,,,,,,
Matt Costa,Yellow Taxi,,,,,,,,,,,,,,,,
Bob Dylan,Boots Of Spanish Leather,,,,,,,,,,,,,,,,
Matisyahu,Fire Of Heaven/Altar Of Earth,,,,,,,,,,,,,,,,
Jack Johnson,Monsoon,,,,,,,,,,,,,,,,
Wu-Tang Clan,Wu-Tang Clan Ain'T Nuthing Ta F' Wit,,,,,,,,,,,,,,,,
Matt Nathanson,Bent,,,,,,,,,,,,,,,,
U2,When Love Comes To Town,,,,,,,,,,,,,,,,
Matt Costa,Oh Dear,,,,,,,,,,,,,,,,
The Stooges,Little Doll,0.8,0.8,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
Teenagersintokyo,Black Bones,,,,,,,,,,,,,,,,
Frank Sinatra,Have Yourself A Merry Little Christmas,,,,,,,,,,,,,,,,
Martin L. Gore,Never Turn Your Back On Mother Earth,,,,,,,,,,,,,,,,
Lo-Fi-Fnk,Heartache,,,,,,,,,,,,,,,,
Lisa Loeb,Fools Like Me,,,,,,,,,,,,,,,,
Mason,Exceeder,,,,,,,,,,,,,,,,
The Stooges,L.A. Blues,,,,,,,,,,,,,,,,
Supersuckers,Roamin' Round,,,,,,,,,,,,,,,,
Dead Poetic,Vanus Empty,,,,,,,,,,,,,,,,
Cat Stevens,Trouble,,,,,,,,,,,,,,,,
Over It,Siren On The 101,,,,,,,,,,,,,,,,
Cat Stevens,Miles From Nowhere,,,,,,,,,,,,,,,,
Surkin,White Knight Two,,,,,,,,,,,,,,,,
3 Doors Down,Not Enough,,,,,,,,,,,,,,,,
Frank Sinatra,I Did It My Way,,,,,,,,,,,,,,,,
Little Joy,No One'S Better Sake,,,,,,,,,,,,,,,,
Anoushka Shankar,Beloved,,,,,,,,,,,,,,,,
The Stills,The Mountain,,,,,,,,,,,,,,,,
植松伸夫,J-E-N-O-V-A (Ffvii Ac Version),,,,,,,,,,,,,,,,
Our Lady Peace,Superman'S Dead,,,,,,,,,,,,,,,,
Out Hud,One Life To Leave,,,,,,,,,,,,,,,,
Jack Off Jill,When I Am Queen,,,,,,,,,,,,,,,,
3 Doors Down,Here By Me,,,,,,,,,,,,,,,,
Outkast,Elevators (Me & You),,,,,,,,,,,,,,,,
Lisa Gerrard,Abwoon,,,,,,,,,,,,,,,,
Catamenia,Kaamos Warrior,,,,,,,,,,,,,,,,
Paul Van Dyk Feat. Jessica Sutta,White Lies (Radio Edit),,,,,,,,,,,,,,,,
3 Doors Down,By My Side,,,,,,,,,,,,,,,,
Masta Killa,Masta Killa,,,,,,,,,,,,,,,,
Fatboy Slim,Soul Surfing,,,,,,,,,,,,,,,,
Mastodon,Mother Puncher,,,,,,,,,,,,,,,,
Frank Sinatra,Night And Day,,,,,,,,,,,,,,,,
The Black Ghosts,Face,,,,,,,,,,,,,,,,
Marilyn Manson,Fundamentally Loathsome,,,,,,,,,,,,,,,,
Vasco Rossi,...E Poi Mi Parli Di Una Vita Insieme,,,,,,,,,,,,,,,,
Loreena Mckennitt,Beneath A Phrygian Sky,,,,,,,,,,,,,,,,
The Black Heart Procession,Return To Burn,,,,,,,,,,,,,,,,
Fountains Of Wayne,Hackensack,,,,,,,,,,,,,,,,
The Black Heart Procession,The Letter,,,,,,,,,,,,,,,,
Lordi,Devil Is A Loser,,,,,,,,,,,,,,,,
