artist_name,track_name,Drum Set,Drum Aggressiveness,Synthetic Drums,Percussion,Electric Guitar,Electric Guitar Distortion,Acoustic Guitar,String Ensemble,Horn Ensemble,Piano,Organ,Rhodes,Synthesizer,Synth Timbre,Bass Guitar,Reed Instrument
Kalmah,Heroes To Us,,,,,,,,,,,,,,,,
Kamelot,Edenecho,,,,,,,,,,,,,,,,
The Flaming Lips,Plastic Jesus,,,,,,,,,,,,,,,,
Guillemots,Get Over It,,,,,,,,,,,,,,,,
Carla Bruni,Those Dancing Days Are Gone,,,,,,,,,,,,,,,,
Kalmah,To The Gallows,,,,,,,,,,,,,,,,
Guided By Voices,Evil Speakers,,,,,,,,,,,,,,,,
Guillemots,Falling Out Of Reach,,,,,,,,,,,,,,,,
Behemoth,Before The Æons Came,,,,,,,,,,,,,,,,
My Dying Bride,Silent Dance,,,,,,,,,,,,,,,,
The Flaming Lips,Turn It On,,,,,,,,,,,,,,,,
Uverworld,－妙策号外Ｏｒｃｈｅｓｔｒａ－,,,,,,,,,,,,,,,,
Aphex Twin,On,,,,,,,,,,,,,,,,
Marilyn Manson,Apple Of Sodom,,,,,,,,,,,,,,,,
Sebastian Waldejer,If I Could,,,,,,,,,,,,,,,,
Uverworld,神集め,,,,,,,,,,,,,,,,
Christian Death,Resurrection - Sixth Communion,,,,,,,,,,,,,,,,
Adam F,Circles,,,,,,,,,,,,,,,,
Christian Death,Burnt Offerings,,,,,,,,,,,,,,,,
Britney Spears,Piece Of Me (Tiësto Remix),,,,,,,,,,,,,,,,
Toru Okada,Sacrine Leaves,,,,,,,,,,,,,,,,
Hot Hot Heat,Let Me In,,,,,,,,,,,,,,,,
Forget Cassettes,Lonely Does It,,,,,,,,,,,,,,,,
Supergrass,She'S So Loose,,,,,,,,,,,,,,,,
Santigold,I'M A Lady (Feat. Trouble Andrew),,,,,,,,,,,,,,,,
Christian Death,Cervix Couch,,,,,,,,,,,,,,,,
Activ,Visez,,,,,,,,,,,,,,,,
Jeff Tweedy,Simple Twist Of Fate,,,,,,,,,,,,,,,,
Dirty Vegas,Walk Into The Sun (Radio Edit),,,,,,,,,,,,,,,,
Christian Death,Sleepwalk,,,,,,,,,,,,,,,,
Avenged Sevenfold,Strength Of The World,,,,,,,,,,,,,,,,
Lamb,Merge,,,,,,,,,,,,,,,,
Tactical Sekt,Left For Dead,,,,,,,,,,,,,,,,
Swod,Tucholskystr.34,,,,,,,,,,,,,,,,
Avenged Sevenfold,Critical Acclaim,,,,,,,,,,,,,,,,
Lamb,Learn,,,,,,,,,,,,,,,,
Swod,Walz 57,,,,,,,,,,,,,,,,
Supergrass,Rough Knuckles,,,,,,,,,,,,,,,,
Delerium,Flowers Become Screens,,,,,,,,,,,,,,,,
Duran Duran,All She Wants Is,,,,,,,,,,,,,,,,
Jedi Mind Tricks,On The Eve Of War (Feat. Gza),,,,,,,,,,,,,,,,
