artist_name,track_name,Drum Set,Drum Aggressiveness,Synthetic Drums,Percussion,Electric Guitar,Electric Guitar Distortion,Acoustic Guitar,String Ensemble,Horn Ensemble,Piano,Organ,Rhodes,Synthesizer,Synth Timbre,Bass Guitar,Reed Instrument
Akufen,Wet Floors,,,,,,,,,,,,,,,,
Akufen,Skidoos,,,,,,,,,,,,,,,,
The Kinks,Where Have All The Good Times Gone,,,,,,,,,,,,,,,,
The Kissaway Trail,Smother + Evil = Hurt,,,,,,,,,,,,,,,,
Big Brother & The Holding Company,Summertime,,,,,,,,,,,,,,,,
Oasis,Champange Supernova,,,,,,,,,,,,,,,,
Oasis,The Girl In The Dirty Shirt,,,,,,,,,,,,,,,,
Oceansize,You Wish,,,,,,,,,,,,,,,,
Oasis,Let'S All Make Believe,,,,,,,,,,,,,,,,
The Knife,The Captain(Silent Shout Tour),,,,,,,,,,,,,,,,
Stereophonics,Bank Holiday Monday,1.0,0.8,0.0,0.2,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
The Knife,Jens'S Sneaking,,,,,,,,,,,,,,,,
ポルノグラフィティ,Melissa,,,,,,,,,,,,,,,,
Destroyer,Foam Hands,,,,,,,,,,,,,,,,
Jedi Mind Tricks,Uncommon Valor: A Vietnam Story (Feat. R.A. The Rugged Man),,,,,,,,,,,,,,,,
Jedi Mind Tricks,Saviorself (Feat. Killah Priest),,,,,,,,,,,,,,,,
The Sisters Of Mercy,Body Electric,,,,,,,,,,,,,,,,
Sepultura,Beneath The Remains,,,,,,,,,,,,,,,,
Stereolab,Metronomic Underground,,,,,,,,,,,,,,,,
Mgmt,Love Always Remains,0.6,0.4,0.8,0.4,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.0
Barbara Morgenstern,The Operator,,,,,,,,,,,,,,,,
Sepultura,Intro,,,,,,,,,,,,,,,,
Mew,Web,,,,,,,,,,,,,,,,
The Sisters Of Mercy,More,,,,,,,,,,,,,,,,
Free On Stage Feat. Sound Players,Like In Heaven (Original Mix),,,,,,,,,,,,,,,,
Black Sabbath,Spiral Architect,,,,,,,,,,,,,,,,
Mewithoutyou,I Never Said That I Was Brave,,,,,,,,,,,,,,,,
Backyard Babies,Idiots,,,,,,,,,,,,,,,,
Rush,Bastille Day,1.0,0.8,0.0,0.2,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Free The Robots,Jazzhole,,,,,,,,,,,,,,,,
Cursive,Opening The Hymnal / Babies,,,,,,,,,,,,,,,,
Sepultura,Murder,,,,,,,,,,,,,,,,
Apocalyptica,Refuse/Resist,,,,,,,,,,,,,,,,
Frightened Rabbit,The Twist,,,,,,,,,,,,,,,,
Olive,You'Re Not Alone,,,,,,,,,,,,,,,,
Olivia Ruiz,Les Vieux Amoureux,,,,,,,,,,,,,,,,
Ted Leo And The Pharmacists,Walking To Do,,,,,,,,,,,,,,,,
Anna Ternheim,I Say No,,,,,,,,,,,,,,,,
Jason Mraz,Did You Get My Message?,,,,,,,,,,,,,,,,
Teddy Geiger,These Walls,,,,,,,,,,,,,,,,
Le Tigre,Mediocrity Rules,,,,,,,,,,,,,,,,
Le Tigre,Sixteen,,,,,,,,,,,,,,,,
Hatebreed,Destroy Everything,,,,,,,,,,,,,,,,
Battlelore,Chazad-Dum Pt.2,,,,,,,,,,,,,,,,
One Day As A Lion,Wild International,,,,,,,,,,,,,,,,
Primal Scream,Beautiful Future,,,,,,,,,,,,,,,,
Janet Jackson,Someone To Call My Lover,,,,,,,,,,,,,,,,
Prefuse 73,The Wrong Side Of Reflection,,,,,,,,,,,,,,,,
Pretty Girls Make Graves,Blue Lights,,,,,,,,,,,,,,,,
Biffy Clyro,Mountains,1.0,0.8,0.0,0.4,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0
Biffy Clyro,Now I'M Everyone,,,,,,,,,,,,,,,,
Methods Of Mayhem,Get Naked,,,,,,,,,,,,,,,,
Laurent Wolf,Wash My World,,,,,,,,,,,,,,,,
Metallica,Too Late Too Late,,,,,,,,,,,,,,,,
Dj Shadow,Transmission 1,,,,,,,,,,,,,,,,
Metallica,53Rd & 3Rd,,,,,,,,,,,,,,,,
Black Tambourine,Pack You Up,,,,,,,,,,,,,,,,
Lene Lovich,Lucky Number,,,,,,,,,,,,,,,,
Dj Shadow,This Time (I'M Gonna Try It My Way),,,,,,,,,,,,,,,,
Meshuggah,Neurotica,,,,,,,,,,,,,,,,
Melvins,Honey Bucket,,,,,,,,,,,,,,,,
Lenny Kravitz,If You Can'T Say No,,,,,,,,,,,,,,,,
The View,Wasted Little Djs,,,,,,,,,,,,,,,,
Stevie Ray Vaughan And Double Trouble,Mary Had A Little Lamb,,,,,,,,,,,,,,,,
Devendra Banhart,Tonada Yanomaminista,,,,,,,,,,,,,,,,
Stevie Ray Vaughan And Double Trouble,Pride And Joy,,,,,,,,,,,,,,,,
Small Faces,Long Agos And Worlds Apart,,,,,,,,,,,,,,,,
Jamiroquai,Talulah,,,,,,,,,,,,,,,,
Metallica,Prince Charming,,,,,,,,,,,,,,,,
Cascada,Ready For Love,,,,,,,,,,,,,,,,
Biffy Clyro,As Dust Dances,,,,,,,,,,,,,,,,
The Vines,Mary Jane,,,,,,,,,,,,,,,,
Portishead & Moloko,Fun For Me,,,,,,,,,,,,,,,,
The Vines,Winning Days,,,,,,,,,,,,,,,,
Smokey Robinson & The Miracles,Tears Of A Clown,,,,,,,,,,,,,,,,
Big Black,Bad Penny,,,,,,,,,,,,,,,,
Jason Mraz,Song For A Friend,,,,,,,,,,,,,,,,
Jason Mraz,Clockwatching,,,,,,,,,,,,,,,,
James Murphy & Pat Mahoney,I Need You Tonight,,,,,,,,,,,,,,,,
X-Ray Spex,I Am A Cliche,,,,,,,,,,,,,,,,
Freeland,L.I.F.E.,,,,,,,,,,,,,,,,
X-Ray Spex,Genetic Engineering,,,,,,,,,,,,,,,,
September,Can'T Get Over (Radio Edit),0.6,0.4,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0
Freeland,Physical World,,,,,,,,,,,,,,,,
Apocalyptica,From Out Of Nowhere,,,,,,,,,,,,,,,,
Leaves' Eyes,Return To Life,,,,,,,,,,,,,,,,
Led Zeppelin,Night Flight,,,,,,,,,,,,,,,,
65Daysofstatic,Massive Star At The End Of Its Burning Cycle,,,,,,,,,,,,,,,,
Freak Kitchen,The Rights To You,,,,,,,,,,,,,,,,
Rush,Resist (Live),,,,,,,,,,,,,,,,
Rush,Scars,,,,,,,,,,,,,,,,
Rush,Roll The Bones,,,,,,,,,,,,,,,,
Annie,Helpless Fool For Love (Patrick Wolf Remix),,,,,,,,,,,,,,,,
The Breeders,Mad Lucas,,,,,,,,,,,,,,,,
