artist_name,track_name,Drum Set,Drum Aggressiveness,Synthetic Drums,Percussion,Electric Guitar,Electric Guitar Distortion,Acoustic Guitar,String Ensemble,Horn Ensemble,Piano,Organ,Rhodes,Synthesizer,Synth Timbre,Bass Guitar,Reed Instrument
Boy Division,Love Will Tear Us Apart,1.0,0.8,0.2,0.4,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.8,0.0
Muse,Supermassive Black Hole,,,,,,,,,,,,,,,,
The Postal Service,Such Great Heights,,,,,,,,,,,,,,,,
Arcade Fire,Neighborhood #1 (Tunnels),,,,,,,,,,,,,,,,
Muse,Starlight,,,,,,,,,,,,,,,,
Muse,Time Is Running Out,,,,,,,,,,,,,,,,
Death Cab For Cutie,I Will Follow You Into The Dark,,,,,,,,,,,,,,,,
Arcade Fire,Rebellion (Lies),,,,,,,,,,,,,,,,
Radiohead,Karma Police,,,,,,,,,,,,,,,,
Radiohead,All I Need,,,,,,,,,,,,,,,,
Coldplay,The Scientist,,,,,,,,,,,,,,,,
Radiohead,Paranoid Android,,,,,,,,,,,,,,,,
Radiohead,Bodysnatchers,,,,,,,,,,,,,,,,
Arctic Monkeys,I Bet You Look Good On The Dancefloor,,,,,,,,,,,,,,,,
Radiohead,15 Step,,,,,,,,,,,,,,,,
Bloc Party,Banquet,,,,,,,,,,,,,,,,
Massive Attack,Teardrop,,,,,,,,,,,,,,,,
Radiohead,Reckoner,,,,,,,,,,,,,,,,
Radiohead,Jigsaw Falling Into Place,,,,,,,,,,,,,,,,
Radiohead,Weird Fishes/Arpeggi,0.6,0.4,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.6,0.0
Interpol,Evil,,,,,,,,,,,,,,,,
The Killers,Smile Like You Mean It,0.8,0.4,0.2,0.2,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.8,0.0
Mgmt,Kids,,,,,,,,,,,,,,,,
Muse,Map Of The Problematique,,,,,,,,,,,,,,,,
