artist_name,track_name,Drum Set,Drum Aggressiveness,Synthetic Drums,Percussion,Electric Guitar,Electric Guitar Distortion,Acoustic Guitar,String Ensemble,Horn Ensemble,Piano,Organ,Rhodes,Synthesizer,Synth Timbre,Bass Guitar,Reed Instrument
Robbie Williams,I Will Talk And Hollywood Will Listen,,,,,,,,,,,,,,,,
Travis,Safe,,,,,,,,,,,,,,,,
New Order,Guilt Is A Useless Emotion,,,,,,,,,,,,,,,,
Bob Dylan,Ain'T Talkin',,,,,,,,,,,,,,,,
Van She,Strangers,,,,,,,,,,,,,,,,
Los Campesinos!,Drop It Doe Eyes,,,,,,,,,,,,,,,,
Travis,She'S So Strange,,,,,,,,,,,,,,,,
Londonbeat,I'Ve Been Thinking About You,,,,,,,,,,,,,,,,
The Chemical Brothers,Come With Us,,,,,,,,,,,,,,,,
Negative,Planet Of The Sun,,,,,,,,,,,,,,,,
The Brunettes,Loopy Loopy Love,,,,,,,,,,,,,,,,
Ra Ra Riot,Too Too Too Fast,,,,,,,,,,,,,,,,
Brand New,Magazines,,,,,,,,,,,,,,,,
Flight Of The Conchords,Inner City Pressure,,,,,,,,,,,,,,,,
Mastodon,Crusher Destroyer,,,,,,,,,,,,,,,,
Black Sabbath,Behind The Wall Of Sleep,,,,,,,,,,,,,,,,
Flight Of The Conchords,Robots,,,,,,,,,,,,,,,,
Coldplay,Yellow (Acoustic Version),,,,,,,,,,,,,,,,
The Isley Brothers,That Lady,,,,,,,,,,,,,,,,
Chromeo,Rage!,,,,,,,,,,,,,,,,
Pantera,10'S,,,,,,,,,,,,,,,,
Guru Josh Project,Infinity 2008 (Klaas Remix),,,,,,,,,,,,,,,,
Dead Or Alive,You Spin Me Round,,,,,,,,,,,,,,,,
The Virgins,Rich Girls,,,,,,,,,,,,,,,,
The Runaways,Cherry Bomb,,,,,,,,,,,,,,,,
Joe Satriani,The Meaning Of Love,,,,,,,,,,,,,,,,
Late Of The Pier,The Enemy Are The Future,,,,,,,,,,,,,,,,
The Bird And The Bee,La La La,,,,,,,,,,,,,,,,
Sloan,The Other Man,,,,,,,,,,,,,,,,
John Farnham,You'Re The Voice,,,,,,,,,,,,,,,,
Badly Drawn Boy,The Further I Slide,,,,,,,,,,,,,,,,
The Coral,Wildfire,,,,,,,,,,,,,,,,
Depeche Mode,Tora! Tora! Tora!,,,,,,,,,,,,,,,,
Christina Aguilera,Understand,,,,,,,,,,,,,,,,
Backyard Babies,Star War,,,,,,,,,,,,,,,,
Beatsteaks,Monster,,,,,,,,,,,,,,,,
David Bowie,Station To Station,,,,,,,,,,,,,,,,
Sister Sledge,We Are Family,,,,,,,,,,,,,,,,
Tiamat,Light In Extension,,,,,,,,,,,,,,,,
Deerhoof,Chatterboxes,,,,,,,,,,,,,,,,
Refused,Protest Song '68,,,,,,,,,,,,,,,,
Lucinda Williams,Right In Time,,,,,,,,,,,,,,,,
Behemoth,The Nephilim Rising,,,,,,,,,,,,,,,,
The Knife,We Share Our Mothers Health (Trentemøller Remix),,,,,,,,,,,,,,,,
Rank 1,Airwave (Rank 1 Vs. Dutch Force Mix),,,,,,,,,,,,,,,,
Sons And Daughters,Hunt,,,,,,,,,,,,,,,,
Ensiferum,Treacherous Gods,,,,,,,,,,,,,,,,
Good Shoes,Blue Eyes,,,,,,,,,,,,,,,,
65Daysofstatic,Wax Futures,,,,,,,,,,,,,,,,
Clutch,The Regulator,,,,,,,,,,,,,,,,
Queen,Let Me Live,,,,,,,,,,,,,,,,
Queen,Liar,,,,,,,,,,,,,,,,
The Organ,There Is Nothing I Can Do,,,,,,,,,,,,,,,,
Lovage,To Catch A Thief,,,,,,,,,,,,,,,,
Tiamat,Love In Chains,,,,,,,,,,,,,,,,
Leftöver Crack,Rock The 40 Oz.,,,,,,,,,,,,,,,,
Atmosphere,The Skinny,,,,,,,,,,,,,,,,
Joss Stone,Music (Feat. Lauryn Hill),,,,,,,,,,,,,,,,
Megadeth,This Was My Life,,,,,,,,,,,,,,,,
Jimmy Eat World,Just Tonight...,,,,,,,,,,,,,,,,
Belle And Sebastian,Legal Man,,,,,,,,,,,,,,,,
Melanie C,Northern Star,,,,,,,,,,,,,,,,
Creed,What'S This Life For,,,,,,,,,,,,,,,,
Rogue Wave,Lake Michigan,,,,,,,,,,,,,,,,
Ane Brun,This Voice,,,,,,,,,,,,,,,,
Chemistry Set,New Hope Pa,,,,,,,,,,,,,,,,
Thievery Corporation,Doors Of Perception (Feat. Gunjan),,,,,,,,,,,,,,,,
Tristania,Lost,,,,,,,,,,,,,,,,
Cat Stevens,The First Cut Is The Deepest,,,,,,,,,,,,,,,,
Elvenking,Under The Tree Of Us'Dum,,,,,,,,,,,,,,,,
Gary Numan,Are Friends Electric,,,,,,,,,,,,,,,,
Funeral For A Friend,Walk Away,,,,,,,,,,,,,,,,
The Chameleons,Nostalgia,,,,,,,,,,,,,,,,
Funkerman,Speed Up,,,,,,,,,,,,,,,,
The Notwist,Alphabet,,,,,,,,,,,,,,,,
Kent,Before It All Ends,,,,,,,,,,,,,,,,
The Chameleons,Second Skin,,,,,,,,,,,,,,,,
Kent,Elefanter,,,,,,,,,,,,,,,,
Rjd2,2 More Dead,,,,,,,,,,,,,,,,
Ac/Dc,Danger,,,,,,,,,,,,,,,,
Guano Apes,Rain,,,,,,,,,,,,,,,,
The Crystal Method,Cherry Twist,,,,,,,,,,,,,,,,
Thrice,The Earth Will Shake,,,,,,,,,,,,,,,,
Ulrich Schnauss,Blumenthal,,,,,,,,,,,,,,,,
Slowdive,Waves,,,,,,,,,,,,,,,,
Pulp,Dishes,,,,,,,,,,,,,,,,
Sloan,Someone That I Can Be True With,,,,,,,,,,,,,,,,
Hooverphonic,2Wicky,,,,,,,,,,,,,,,,
The Fiery Furnaces,Up In The North,,,,,,,,,,,,,,,,
Morrissey,It'S Not Your Birthday Anymore,,,,,,,,,,,,,,,,
Morrissey,Mama Lay Softly On The Riverbed,,,,,,,,,,,,,,,,
Thievery Corporation,The State Of The Union,,,,,,,,,,,,,,,,
My Brightest Diamond,The Robin'S Jar,,,,,,,,,,,,,,,,
Kamelot,Center Of The Universe,,,,,,,,,,,,,,,,
The Jimi Hendrix Experience,Third Stone From The Sun,,,,,,,,,,,,,,,,
Andrew Bird,Fitz And The Dizzyspells,,,,,,,,,,,,,,,,
No Doubt,Hey You,,,,,,,,,,,,,,,,
The All-American Rejects,Why Worry,,,,,,,,,,,,,,,,
J Dilla,Stop,,,,,,,,,,,,,,,,
No Doubt,Making Out,,,,,,,,,,,,,,,,
Stars Of The Lid,Even If You'Re Never Awake (Deuxième),,,,,,,,,,,,,,,,
Travis,U16 Girls,,,,,,,,,,,,,,,,
Enigma,Shadows In Silence,,,,,,,,,,,,,,,,
Mirah,Million Miles,,,,,,,,,,,,,,,,
My Dying Bride,The Cry Of Mankind,,,,,,,,,,,,,,,,
Tristania,Dementia,,,,,,,,,,,,,,,,
Darkthrone,The Serpents Harvest,,,,,,,,,,,,,,,,
Stars Of The Lid,Even (Out) +,,,,,,,,,,,,,,,,
The Jesus And Mary Chain,Gimme Hell,,,,,,,,,,,,,,,,
Ben Harper,She'S Only Happy In The Sun,,,,,,,,,,,,,,,,
The Jesus And Mary Chain,Cherry Came Too,0.8,0.4,0.0,0.4,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
Iron Maiden,Another Life,1.0,1.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
Stars,In Our Bedroom After The War,,,,,,,,,,,,,,,,
Ben Harper,The Drugs Don'T Work,,,,,,,,,,,,,,,,
Sons And Daughters,Monsters,,,,,,,,,,,,,,,,
Mirah,The Light,,,,,,,,,,,,,,,,
Matchbox Twenty,Damn,,,,,,,,,,,,,,,,
The Slits,Shoplifting,,,,,,,,,,,,,,,,
The Frames,Dream Awake,,,,,,,,,,,,,,,,
E-Funk Feat. Donica Thorton,Shout,,,,,,,,,,,,,,,,
Craig Armstrong,Sea Song,,,,,,,,,,,,,,,,
Soilwork,Final Fatal Force,,,,,,,,,,,,,,,,
Joy Division,Twenty-Four Hours,,,,,,,,,,,,,,,,
Darkthrone,Slottet I Det Fjerne,,,,,,,,,,,,,,,,
Kaki King,Life Being What It Is,,,,,,,,,,,,,,,,
